held_out,context,arm,targets,pds_proxy_generator,detectable_median,det_precision,det_yield,n_conf_median
orion_hct116,C,raw@1.576,265,0.662985991995426,1714.5,0.5123809557868946,0.5099879717517557,58.0
orion_hct116,C,zk4@0.788,265,0.6679030874785592,180.5,0.5259773843289886,0.5092608116817007,58.0
orion_hct116,C,zk4@1.576,265,0.6707904516866781,529.5,0.5193598038220276,0.5142494042129062,58.0
orion_hct116,C,zk4@3.152,265,0.6596054888507719,1416.5,0.5142816093735876,0.5113821835306744,58.0
orion_hct116,C,zk4@6.304,265,0.6366423670668954,3279.0,0.5092255316282247,0.5076187597126579,58.0
orion_hct116,C,zk4@12.608,265,0.6100200114351058,6162.0,0.5061419483584326,0.5054426434272759,58.0
orion_hct116,C,zk16@0.788,265,0.656060606060606,64.5,0.5311839928463379,0.39957841088853396,58.0
orion_hct116,C,zk16@1.576,265,0.6717409948542024,189.5,0.5292176863323894,0.5138035123355557,58.0
orion_hct116,C,zk16@3.152,265,0.6676100628930818,511.0,0.5189641470861603,0.515594157312244,58.0
orion_hct116,C,zk16@6.304,265,0.6523727844482561,1287.0,0.5133480483677366,0.5110707113691366,58.0
orion_hct116,C,zk16@12.608,265,0.6240637507146941,3240.0,0.5084211430439771,0.5069257731760342,58.0
orion_hek293t,A,raw@0.788,278,0.6525400618133652,463.75,0.524313599192326,0.5133425584960506,60.0
orion_hek293t,A,raw@1.576,278,0.6557735760849803,1720.75,0.5161475571638638,0.5142740590975241,60.0
orion_hek293t,A,zk4@0.788,278,0.6559748591018881,119.5,0.5374153398125499,0.448964308711449,60.0
orion_hek293t,A,zk4@1.576,278,0.6643053788016519,457.75,0.5274893815776499,0.5150781660437541,60.0
orion_hek293t,A,zk4@3.152,278,0.6593836843882295,1408.5,0.5195835278577323,0.5164425092777993,60.0
orion_hek293t,A,zk4@6.304,278,0.6428330259979742,3350.25,0.5151004614289838,0.513874775901074,60.0
orion_hek293t,A,zk4@12.608,278,0.6191595460094019,6102.5,0.5132034571510025,0.5128655773163071,60.0
orion_hek293t,A,zk16@0.788,278,0.6419110199205257,40.0,0.544977434663347,0.27427561932001554,60.0
orion_hek293t,A,zk16@1.576,278,0.6624548736462095,137.0,0.534988881308756,0.45724829131436984,60.0
orion_hek293t,A,zk16@3.152,278,0.6630782016985689,449.0,0.5269289936245363,0.514304610189418,60.0
orion_hek293t,A,zk16@6.304,278,0.6496247045684752,1337.75,0.5204183272749112,0.5168368093179527,60.0
orion_hek293t,A,zk16@12.608,278,0.6282757187751604,3249.0,0.5153463572946261,0.5143024460104701,60.0
orion_hek293t,B,raw@0.788,278,0.6464885853050412,536.75,0.5193021427915852,0.5144455052660062,64.0
orion_hek293t,B,raw@1.576,278,0.6471313923590369,1656.25,0.5159982420648865,0.5154224877367946,64.0
orion_hek293t,B,zk4@0.788,278,0.6570656831935173,164.5,0.5293381794584936,0.47832777898750173,64.0
orion_hek293t,B,zk4@1.576,278,0.6633703867231124,497.5,0.5216218615497543,0.5142624563393036,64.0
orion_hek293t,B,zk4@3.152,278,0.6614809235643975,1339.0,0.5196727055285286,0.5176973654148873,64.0
orion_hek293t,B,zk4@6.304,278,0.6387164636521829,3086.75,0.5170311519845361,0.5160204697708379,64.0
orion_hek293t,B,zk4@12.608,278,0.613692439550165,5699.0,0.5162641703222932,0.5157801782002152,64.0
orion_hek293t,B,zk16@0.788,278,0.6477027764070331,56.0,0.5345154900933617,0.3612878160114866,64.0
orion_hek293t,B,zk16@1.576,278,0.6664740409838195,169.75,0.5275216192613394,0.48004594920043353,64.0
orion_hek293t,B,zk16@3.152,278,0.6696750902527075,471.75,0.5224960415400264,0.5139758607656844,64.0
orion_hek293t,B,zk16@6.304,278,0.6596044464067735,1237.0,0.5214492048572922,0.5184279777196275,64.0
orion_hek293t,B,zk16@12.608,278,0.6315871490533205,2962.0,0.5178540497146638,0.5167355740854267,64.0
orion_hek293t,C,raw@0.788,278,0.6525790198166377,574.0,0.5197672738733241,0.5134597883100842,61.0
orion_hek293t,C,raw@1.576,278,0.6540204659377191,1725.75,0.5155483116930548,0.5147588856109789,61.0
orion_hek293t,C,zk4@0.788,278,0.6589746253538685,183.25,0.530833798572509,0.4823630489376778,61.0
orion_hek293t,C,zk4@1.576,278,0.6656429369140068,529.25,0.5224601194211556,0.515000354973101,61.0
orion_hek293t,C,zk4@3.152,278,0.6596498974105913,1425.0,0.5176977267508487,0.5158838518627544,61.0
orion_hek293t,C,zk4@6.304,278,0.6327623821520401,3280.25,0.5156242698632885,0.5149038293184489,61.0
orion_hek293t,C,zk4@12.608,278,0.6062579539256681,6164.75,0.5151544655380258,0.5148558306277815,61.0
orion_hek293t,C,zk16@0.788,278,0.6455665792275926,65.0,0.5331160546880181,0.3679120291864486,61.0
orion_hek293t,C,zk16@1.576,278,0.6642988858011063,191.0,0.53014930491344,0.4869402322353361,61.0
orion_hek293t,C,zk16@3.152,278,0.6668636210165442,512.75,0.52227458819378,0.5146873230489764,61.0
orion_hek293t,C,zk16@6.304,278,0.6523452717970029,1309.5,0.5176097240615994,0.5157201374002857,61.0
orion_hek293t,C,zk16@12.608,278,0.620484118120666,3236.0,0.515673508278728,0.5148619743728433,61.0
