variant,held_out,target,inner_estimate,outer_pds
base_g1,k562,STK3,0.877855806477114,0.5629629629629629
base_g1,k562,SUPT7L,0.8651256490738882,1.0
base_g1,k562,SYVN1,0.9784098218530638,1.0
base_g1,k562,TARBP2,0.16133001921278564,0.9074074074074074
base_g1,k562,TBC1D13,0.5153429602888087,0.5814814814814815
base_g1,k562,TBCK,0.9299199937861081,1.0
base_g1,k562,TEAD4,0.727285850839604,0.9185185185185185
base_g1,k562,TEX2,0.9244841004094121,0.9925925925925926
base_g1,k562,TFCP2,0.7932094250174505,0.7962962962962963
base_g1,k562,THAP3,0.8818780512273867,0.8407407407407408
base_g1,k562,THAP7,0.9373233559714326,0.9888888888888889
base_g1,k562,TIMM17B,0.8409751684278023,0.9962962962962963
base_g1,k562,TIMM50,0.7075067845811884,0.3296296296296296
base_g1,k562,TMCO6,0.5522035068440817,0.9037037037037037
base_g1,k562,TMED3,0.5415261902721024,0.4740740740740741
base_g1,k562,TMEM186,0.9137564373130074,0.7851851851851852
base_g1,k562,TMEM209,0.7934200996450604,0.9296296296296296
base_g1,k562,TMEM41B,0.7887501229636454,0.2962962962962963
base_g1,k562,TMF1,0.8573220050961048,0.1518518518518519
base_g1,k562,TRAPPC6A,0.8993219103934846,0.7592592592592593
base_g1,k562,TRIB3,0.4408157254272867,1.0
base_g1,k562,TRIM35,0.5403473041909747,0.2925925925925926
base_g1,k562,TRIP4,0.44215961753064636,0.6296296296296297
base_g1,k562,TRMT1,0.06850847781961318,0.34444444444444444
base_g1,k562,TRPC4AP,0.6709433279530534,0.9333333333333333
base_g1,k562,TWF2,0.43907385683689815,0.9851851851851852
base_g1,k562,UPF3B,0.8504571925478933,1.0
base_g1,k562,UROS,0.7694537405465229,0.662962962962963
base_g1,k562,USP28,0.5896512752697233,0.37037037037037035
base_g1,k562,VIM,0.22485915509310792,0.8185185185185185
base_g1,k562,WBP4,0.9282370198599875,1.0
base_g1,k562,YIPF6,0.9177097332384693,0.3037037037037037
base_g1,k562,ZBTB34,0.4091306821109342,0.19259259259259254
base_g1,k562,ZBTB41,0.24027897291878628,0.49629629629629635
base_g1,k562,ZBTB48,0.6771438759965104,1.0
base_g1,k562,ZC3HAV1,0.7475168579245648,0.8555555555555556
base_g1,k562,ZDHHC12,0.18243793419460216,0.9592592592592593
base_g1,k562,ZDHHC4,0.6931381355504111,0.9962962962962963
base_g1,k562,ZFP62,0.37818301681826316,1.0
