target,gene,dist,log2fc
ANAPC11,SIRT7,30654,-0.2062176313193919
ANAPC11,MAFG,37100,0.12852754610965092
ANAPC13,CEP63,1017,-1.702457966594591
ANAPC15,NUMA1,32995,0.10842075068174889
ANAPC15,LAMTOR1,10295,-0.05809069431238864
ANAPC2,TPRN,15165,0.02709187129439694
ANAPC2,SSNA1,388,-0.26672606783348674
ANAPC2,TMEM203,16620,-0.080888675972742
ANAPC5,RNF34,182,-0.31332899695163835
ANAPC7,ARPC3,46682,0.08490474107792347
ANK3,CDK1,44777,0.008319036761425246
ANKIB1,KRIT1,206,-0.4674046066641869
ANKLE1,BABAM1,14302,-0.12181457055401458
ANKLE1,DDA1,27873,0.05887036024130619
ANKLE1,NR2F6,35692,-0.12681076183265264
ANKMY1,RNPEPL1,3405,-0.21027066646410408
ANKMY2,BZW2,1188,-2.553862024879876
ANKRA2,UTP15,269,-0.6691814329210723
ANKRD11,SPG7,13,0.6537560559539025
ANKRD12,NDUFV2,33795,-0.12025863725825836
ANKRD13D,GRK2,22304,-0.015094286573047585
ANKRD16,GDI2,47862,-0.144671511688146
ANKRD16,FBH1,170,-0.7499263902303659
ANKRD40,LUC7L3,11645,-0.08118017619896675
ANKRD49,MRE11,18697,-3.3327622931770478
ANKRD52,CS,41730,-0.6215507827686548
ANKRD52,NABP2,36687,-0.41281352003184574
ANKRD52,RNF41,34390,0.15625241941539478
ANKRD54,GCAT,41455,0.31114863215533106
ANKRD54,EIF3L,459,-0.2982604607378462
ANKS1A,TAF11,51,-0.09934544221823018
ANKS3,NUDT16L1,40826,0.30291550543878476
ANKZF1,STK16,15443,-0.13129508341781426
ANO10,ABHD5,1486,-0.36922285850466835
ANP32B,HEMGN,38270,-2.0004808709384783
ANP32E,APH1A,33378,-0.08013034212329205
ANTKMT,HAGHL,5913,-0.5732200495258155
ANTKMT,METRN,5488,-1.2508193705760777
ANTKMT,STUB1,40601,-0.0951722877790039
ANTKMT,JMJD8,36053,-0.18647546329719403
ANXA2R,ZNF131,22006,-0.13807701474917367
AP1G1,IST1,36769,-0.25651298867903194
AP1M1,FAM32A,12476,-0.5225556794339608
AP2A2,CHID1,9302,-0.1829714308797884
AP2M1,EIF2B5,39703,0.006584695037874122
