target,gene,dist,k562_log2fc,hepg2_log2fc,hepg2_cells
KIN,ATP5F1C,91,-0.5819266263345519,-0.8682058294368746,73
KLHL17,NOC2L,159,-0.10331710063878188,-0.13057712621940046,59
KRT10,TMEM99,3543,-2.2512547074748683,-4.8122275851896825,73
KRT8,KRT18,4266,-2.2022552193810196,-1.165313459764886,64
LSM12,G6PC3,3001,0.1620566709784709,-0.09998142939829316,69
LSM3,XPC,18,-0.5937580910236905,-1.2157272554137302,39
LSM5,AVL9,143,-1.5600979092795422,-0.2399345107747753,122
MASTL,YME1L1,841,-0.45578194644340003,-0.6421649064963975,49
MCEE,MPHOSPH10,26,-2.057339306611549,-4.128045186663595,23
MCM4,PRKDC,3,-0.19215209668423486,-0.007364244074648656,28
MCMBP,SEC23IP,37,-0.09324375018029146,-0.36514221033414823,141
MED17,TAF1D,164,-0.21563073614813127,-0.07368367146139672,33
MED19,TMX2,17,-0.479534845949967,-0.36519263343682695,112
MED20,BYSL,82,-0.03552990248348549,-0.5613270950972815,74
MED29,PAF1,149,-0.06230184857362179,-3.307154117052037,38
METTL23,JMJD6,803,0.29989024280523785,-0.12028732273324899,35
MEX3A,LMNA,107,-0.07022623486146913,0.3457867836409405,34
MICOS10,CAPZB,1247,0.0853374025441565,0.034603931404174094,56
MIS12,DERL2,532,-1.3568444831529198,-1.144728859587485,37
MOB4,HSPD1,1166,-0.22624095751418533,-0.12114425993394776,87
MOCS3,DPM1,327,-0.2750561266007731,-1.1026303546136504,25
MRTO4,EMC1,3,-1.0788745157688737,-1.0244630247262274,30
MSTO1,ASH1L,73,-0.03610409484175656,-0.14657008928163145,29
MTREX,DHX29,14,-0.6170466734406961,-1.6424116012359267,26
MVK,MMAB,325,-1.7517865021630141,-1.9429046689081007,153
NAA15,NDUFC1,1118,-0.20709669213801823,-0.4224254125038982,36
NAA50,ATP6V1A,490,-0.6465223961196886,-0.7705895471589538,65
NBEAL1,WDR12,190,-0.13015238761856565,0.02651589211631068,75
NCAPG,DCAF16,86,-1.5756621624415963,-0.6196018426956232,28
NCAPH2,LMF2,376,-0.3447407308316971,-0.7731146665210206,55
NCBP2,NCBP2AS2,80,-0.12092207196875084,-0.9495683204217482,25
NDOR1,TPRN,1469,-0.00612730509478742,-0.10735544469153874,25
NDOR1,TMEM203,14,-0.44317809403335456,-1.3245582364124495,25
NDUFA2,IK,765,-0.3534826859635301,-1.5817058476594865,35
NDUFAF5,ESF1,431,-1.6412542246765305,-3.541467151286237,34
NDUFAF7,CEBPZ,16,-1.7644328218542071,-1.7773739327885518,38
NDUFS3,PTPMT1,94,0.10153825278179698,-0.5511725574390526,32
NDUFS3,CELF1,233,-0.07186955368064359,-0.5374298029682196,32
NEDD8,GMPR2,328,-0.4630268089572598,-0.8835153168080915,6
NELFA,C4orf48,1275,-0.29003229218502125,-1.3062980145782546,43
NFS1,ROMO1,148,-0.6942265620999076,-1.1815547315546118,90
NIFK,TSN,17,0.2843958286191136,-0.7944747651569793,105
