held_out,shape,arm,targets,pds_proxy,reach_proxy,prec_200,yield_200,mse_ratio,energy_kept,pds_minus_base,pds_minus_base_ci95,reach_minus_base,reach_minus_base_ci95
k562,t19,random_r10,271,0.4880962142954762,0.035621376829589414,0.5008671586715867,0.5003318784786994,1.0001467476185453,0.028167374432086945,-0.2887658876588766,"[-0.3354387043870439, -0.24083264999316661]",-0.06994456353842415,"[-0.08880928756377393, -0.05214916860086857]"
k562,t19,stack_r20,271,0.5629356293562936,0.036748333674440296,0.5074538745387454,0.5069105529764975,1.0277708940653278,0.48661643266677856,-0.2139264725980593,"[-0.24768381850485174, -0.18089312559792262]",-0.06881760669357327,"[-0.08639589972066891, -0.051850697704712755]"
k562,t19,half_stack_r20,271,0.7379527128604619,0.10188145405225237,0.5319003690036901,0.531263011017207,1.0351456268388837,0.6539093255996704,-0.03890938909389094,"[-0.049447519475194754, -0.02833094164274976]",-0.0036844863157612048,"[-0.011695811389012786, 0.004129235676257633]"
k562,t19,self_r20,271,0.5814404810714774,0.04268618961676436,0.5073616236162362,0.5067347141213348,1.03613160255602,0.6306061148643494,-0.19542162088287549,"[-0.22989100724340575, -0.1619628946289463]",-0.06287975075124921,"[-0.08111999690150268, -0.044757217122118484]"
k562,t19,random_r20,271,0.5657099904332377,0.03565796454315124,0.5016420664206642,0.5010627772589027,1.0002022397149097,0.039588332176208496,-0.21115211152111524,"[-0.2572088970889709, -0.16146542298756328]",-0.06990797582486234,"[-0.08670367566700263, -0.052939026230248556]"
k562,t19,stack_r40,271,0.573486401530682,0.0407256018385796,0.5083025830258303,0.5077331402346281,1.0350102477790841,0.5461441278457642,-0.2033757004236709,"[-0.23452439524395247, -0.16954865381987155]",-0.06484033852943397,"[-0.08329622586425667, -0.047744086752852945]"
k562,t19,half_stack_r40,271,0.7327046603799371,0.10268462614088633,0.5307011070110702,0.5300428520414237,1.0403935914263562,0.6882616877555847,-0.04415744157441574,"[-0.055557947246139126, -0.0334419844198442]",-0.0028813142271272366,"[-0.009490395777414428, 0.0036323327575031083]"
k562,t19,self_r40,271,0.6209512095120951,0.04715654195366807,0.513690036900369,0.51301610919335,1.0468694765556608,0.7327393889427185,-0.15591089244225773,"[-0.18669434194341944, -0.12586989203225366]",-0.0584093984143455,"[-0.07500547334298058, -0.043414961572576106]"
k562,t19,random_r40,271,0.5612682793494601,0.040727017546761106,0.49872693726937267,0.4981684592965333,1.0004659913661746,0.05674460902810097,-0.21559382260489274,"[-0.261694000273336, -0.17018928522618565]",-0.06483892282125246,"[-0.08346074330818441, -0.04731229403989947]"
k562,t19,stack_r80,271,0.6084187508541753,0.05294448423217182,0.5121033210332103,0.5114450660635639,1.047972666096586,0.6549804210662842,-0.1684433511001777,"[-0.19814336476698102, -0.13739203225365587]",-0.05262145613584174,"[-0.06782606610926079, -0.037829482524248656]"
