model,uses_context,protocol,direction_id,seed,pooled_mse_vs_null,pearson_median,coverage_targets,n_total_params,n_trainable_params,train_seconds,infer_seconds,peak_rss_bytes,artifact_bytes,calibration_label,context_identifiable,verdict_eligible
modular_joint_noctx,False,new_context_seen_target,k562_hepg2_to_rpe1,2026,0.8825174041952744,0.2735868418575844,1.0,110437,110437,2.4927051999839023,0.04278739995788783,661106688,846174,cross_context_within_training,True,False
gate_G1,True,new_context_seen_target,k562_hepg2_to_rpe1,2026,0.9708634451704068,0.16627115961346686,1.0,4,4,0.42224639997584745,0.19664690003264695,661106688,5369,cross_context_within_training,True,False
gate_G1_perm,True,new_context_seen_target,k562_hepg2_to_rpe1,2026,0.9708634451704068,0.16627115961346686,1.0,4,4,0.39326290000462905,0.20247369998833165,661106688,5378,cross_context_within_training,True,False
gate_G1_src,False,new_context_seen_target,k562_hepg2_to_rpe1,2026,0.9709125708616184,0.1664566378432034,1.0,4,4,0.4091263000154868,0.20935479999752715,661106688,5372,cross_context_within_training,True,False
gate_G2,True,new_context_seen_target,k562_hepg2_to_rpe1,2026,0.9708634451704068,0.16627115961346686,1.0,5,5,0.42871319997357205,0.20648379996418953,661106688,5369,cross_context_within_training,True,False
gate_G2_perm,True,new_context_seen_target,k562_hepg2_to_rpe1,2026,0.9708634451704068,0.16627115961346686,1.0,5,5,0.45911070000147447,0.2002728000516072,661106688,5378,cross_context_within_training,True,False
gate_G2_src,False,new_context_seen_target,k562_hepg2_to_rpe1,2026,0.9708634451704068,0.16627115961346686,1.0,5,5,0.43160399998305365,0.20934989996021613,661106688,5372,cross_context_within_training,True,False
gate_G3,True,new_context_seen_target,k562_hepg2_to_rpe1,2026,0.9708634451704068,0.16627115961346686,1.0,4,4,0.3902652999968268,0.19612929999129847,661106688,5369,cross_context_within_training,True,False
gate_G3_perm,True,new_context_seen_target,k562_hepg2_to_rpe1,2026,0.9708634451704068,0.16627115961346686,1.0,4,4,0.3670480999862775,0.20025240001268685,661106688,5378,cross_context_within_training,True,False
gate_G3_src,False,new_context_seen_target,k562_hepg2_to_rpe1,2026,0.9708634451704068,0.16627115961346686,1.0,4,4,0.3801236000144854,0.1942782000405714,661106688,5372,cross_context_within_training,True,False
shrunk_transfer,False,new_context_seen_target,k562_hepg2_to_rpe1,2027,0.967553464268583,0.16216903206707278,1.0,2,2,2.6059813000028953,0.17985830001998693,666664960,3770,cross_context_within_training,True,False
