held_out,predictors,variant,context_weights,targets,pds_proxy,prec_50,prec_200,prec_800,yield_50,yield_200,yield_800,up_50,up_200,up_800,n_conf
k562,cd4_mix+orion_hct116+orion_hek293t,consensus1,C,271,0.7584119174525078,0.5380811808118081,0.5306273062730628,0.5208164206642067,0.48912178294865555,0.5300661421708556,0.5208164206642067,0.41025830258302587,0.4463284132841328,0.4978782287822879,41.40959409594096
k562,cd4_mix+orion_hct116+orion_hek293t,consensus2,A,271,0.7554325543255432,0.542730627306273,0.532029520295203,0.5219142066420663,0.49412801507695214,0.5315110558082325,0.5219142066420663,0.40841328413284134,0.45184501845018443,0.5049354243542435,41.59040590405904
k562,cd4_mix+orion_hct116+orion_hek293t,consensus2,B,271,0.7600792674593412,0.5432472324723246,0.5314760147601477,0.5212453874538746,0.49650886664964794,0.5309634455719557,0.5212453874538746,0.4133579335793357,0.4542066420664207,0.5059870848708488,40.05904059040591
k562,cd4_mix+orion_hct116+orion_hek293t,consensus2,C,271,0.758042913762471,0.5406642066420665,0.5300738007380074,0.5209916974169742,0.491359282737362,0.5295171621527536,0.5209916974169742,0.4134317343173432,0.45457564575645754,0.5058348708487084,41.40959409594096
k562,cd4_mix+orion_hct116+orion_hek293t,shuffled_base,A,271,0.46106327729943963,0.5004428044280443,0.5038191881918819,0.49954335793357924,0.4582805484840847,0.5033504962956605,0.49954335793357924,0.38354243542435423,0.4245940959409594,0.4802398523985239,41.55350553505535
k562,cd4_mix+orion_hct116+orion_hek293t,shuffled_base,B,271,0.4553915539155392,0.4935055350553506,0.4991143911439115,0.4975968634686347,0.4548028778706301,0.49867850553505544,0.4975968634686347,0.3893726937269372,0.42933579335793354,0.4822509225092251,40.05166051660517
k562,cd4_mix+orion_hct116+orion_hek293t,shuffled_base,C,271,0.44823014896815644,0.4929889298892989,0.4990221402214023,0.49807656826568264,0.45213691656487104,0.4985152823226346,0.49807656826568264,0.38952029520295206,0.42981549815498155,0.48200184501845017,41.398523985239855
cd4_mix,k562+orion_hct116+orion_hek293t,base_g1,A,292,0.6741161794473474,0.5142465753424659,0.5138698630136986,0.5140967465753425,0.5142465753424659,0.5138698630136986,0.5140967465753425,0.31410958904109587,0.36388698630136984,0.4515068493150686,0.0
cd4_mix,k562+orion_hct116+orion_hek293t,base_g1,B,292,0.6652662053382291,0.5194520547945206,0.5191267123287671,0.5168878424657535,0.5194520547945206,0.5191267123287671,0.5168878424657535,0.29650684931506854,0.3698972602739726,0.4617594178082192,0.0
cd4_mix,k562+orion_hct116+orion_hek293t,base_g1,C,292,0.6635950666101774,0.511027397260274,0.5122945205479451,0.5153638698630136,0.511027397260274,0.5122945205479451,0.5153638698630136,0.3028767123287671,0.36660958904109586,0.4563655821917807,0.0
cd4_mix,k562+orion_hct116+orion_hek293t,g0,A,292,0.6629007202372547,0.513013698630137,0.5129623287671233,0.5164383561643836,0.513013698630137,0.5129623287671233,0.5164383561643836,0.6848630136986301,0.6119178082191781,0.5126669520547946,0.0
cd4_mix,k562+orion_hct116+orion_hek293t,g0,B,292,0.6676552276043873,0.5147945205479452,0.515376712328767,0.5174272260273973,0.5147945205479452,0.515376712328767,0.5174272260273973,0.59,0.5226712328767124,0.4653125,0.0
cd4_mix,k562+orion_hct116+orion_hek293t,g0,C,292,0.6554629760391659,0.5052054794520547,0.5109760273972603,0.5159888698630136,0.5052054794520547,0.5109760273972603,0.5159888698630136,0.6341095890410959,0.5578767123287671,0.4826583904109589,0.0
cd4_mix,k562+orion_hct116+orion_hek293t,g05,A,292,0.6739867250388363,0.5152739726027398,0.5147431506849315,0.5159888698630136,0.5152739726027398,0.5147431506849315,0.5159888698630136,0.4823972602739727,0.47881849315068503,0.48184503424657543,0.0
cd4_mix,k562+orion_hct116+orion_hek293t,g05,B,292,0.6672786329614462,0.5180136986301369,0.5181849315068493,0.5174828767123288,0.5180136986301369,0.5181849315068493,0.5174828767123288,0.42027397260273974,0.4399315068493151,0.46304366438356165,0.0
cd4_mix,k562+orion_hct116+orion_hek293t,g05,C,292,0.6631243233065011,0.5087671232876713,0.5117808219178082,0.5162200342465753,0.5087671232876713,0.5117808219178082,0.5162200342465753,0.44821917808219175,0.45448630136986307,0.46893835616438356,0.0
cd4_mix,k562+orion_hct116+orion_hek293t,shrunk_g1,A,292,0.6873205291154734,0.5345205479452055,0.5234589041095892,0.5177868150684932,0.5345205479452055,0.5234589041095892,0.5177868150684932,0.5471917808219179,0.48696917808219176,0.457388698630137,0.0
cd4_mix,k562+orion_hct116+orion_hek293t,shrunk_g1,B,292,0.6779998117026785,0.5383561643835617,0.5272773972602741,0.5204751712328768,0.5383561643835617,0.5272773972602741,0.5204751712328768,0.5034931506849314,0.47275684931506856,0.4598030821917808,0.0
