held_out,target,pds_proxy_A
k562,SLC25A13,0.662962962962963
k562,SLC39A1,0.5814814814814815
k562,SLIRP,0.9925925925925926
k562,SMARCA5,1.0
k562,SMARCC2,0.07037037037037042
k562,SMYD2,0.9666666666666667
k562,SND1,0.9888888888888889
k562,SNRK,0.7148148148148148
k562,SNX4,0.2518518518518519
k562,SRSF5,0.9777777777777777
k562,SSR4,0.7888888888888889
k562,STAT6,0.30740740740740746
k562,STK3,0.5185185185185186
k562,STT3A,0.6222222222222222
k562,SUPT7L,1.0
k562,SYVN1,1.0
k562,TAF15,0.537037037037037
k562,TARBP2,0.8111111111111111
k562,TBC1D13,0.6814814814814815
k562,TBCK,1.0
k562,TEAD4,0.937037037037037
k562,TEX2,0.9740740740740741
k562,TFCP2,0.7888888888888889
k562,THAP3,0.8555555555555556
k562,THAP7,0.9851851851851852
k562,TIMM17B,0.9962962962962963
k562,TIMM50,0.3851851851851852
k562,TMCO6,0.9111111111111111
k562,TMED3,0.42592592592592593
k562,TMEM147,0.9777777777777777
k562,TMEM186,0.6481481481481481
k562,TMEM209,0.7740740740740741
k562,TMEM41B,0.18888888888888888
k562,TMF1,0.14074074074074072
k562,TRAPPC6A,0.7296296296296296
k562,TRIB3,1.0
k562,TRIM35,0.3407407407407408
k562,TRIP4,0.4666666666666667
k562,TRMT1,0.28148148148148144
k562,TRPC4AP,0.962962962962963
k562,TWF2,0.9888888888888889
k562,UNK,0.4555555555555556
k562,UPF3B,1.0
k562,UROS,0.31481481481481477
k562,USP28,0.5037037037037038
k562,VAPB,0.5296296296296297
k562,VIM,0.9037037037037037
k562,WBP4,1.0
k562,YIPF6,0.15555555555555556
k562,ZBTB34,0.3037037037037037
k562,ZBTB41,0.4444444444444444
k562,ZBTB48,1.0
k562,ZC3HAV1,0.7740740740740741
k562,ZDHHC12,0.9481481481481482
k562,ZDHHC4,1.0
k562,ZFP62,0.9925925925925926
k562,ZHX3,0.9407407407407408
k562,ZKSCAN1,0.9777777777777777
k562,ZKSCAN2,0.9148148148148149
k562,ZKSCAN3,0.2592592592592593
k562,ZNF16,0.4629629629629629
k562,ZNF174,0.537037037037037
k562,ZNF219,0.24444444444444446
k562,ZNF22,0.9518518518518518
k562,ZNF25,0.08148148148148149
k562,ZNF251,0.5037037037037038
k562,ZNF280C,0.5888888888888889
k562,ZNF282,0.6666666666666667
k562,ZNF32,0.13703703703703707
k562,ZNF324,0.43333333333333335
k562,ZNF397,0.8888888888888888
k562,ZNF410,0.20740740740740737
k562,ZNF444,0.8037037037037037
k562,ZNF462,1.0
k562,ZNF496,0.8074074074074074
k562,ZNF507,1.0
k562,ZNF514,1.0
k562,ZNF526,0.8777777777777778
k562,ZNF530,0.6333333333333333
k562,ZNF543,0.7037037037037037
k562,ZNF627,0.8074074074074074
k562,ZNF628,0.9703703703703703
k562,ZNF641,0.6851851851851851
k562,ZNF670,0.4185185185185185
k562,ZNF714,0.9888888888888889
k562,ZNF740,0.9962962962962963
k562,ZNF768,0.3481481481481481
k562,ZNF777,0.8666666666666667
k562,ZNF783,0.3037037037037037
k562,ZNF784,0.662962962962963
k562,ZNF786,0.007407407407407418
k562,ZNF821,0.5962962962962963
k562,ZRANB3,0.8925925925925926
cd4_mix,ACLY,1.0
cd4_mix,ADNP,0.993127147766323
cd4_mix,AGO1,0.3917525773195877
cd4_mix,AKAP1,0.8419243986254296
cd4_mix,AKIRIN1,0.604810996563574
cd4_mix,AKT2,1.0
cd4_mix,ALG12,0.8762886597938144
cd4_mix,ANKRD52,0.23711340206185572
cd4_mix,ANKZF1,1.0
cd4_mix,ANP32B,0.738831615120275
cd4_mix,AP2A2,0.7285223367697595
cd4_mix,API5,0.8969072164948454
cd4_mix,ARL14EP,0.604810996563574
cd4_mix,ASCC2,0.5360824742268041
cd4_mix,BCKDK,0.429553264604811
cd4_mix,BCL6,1.0
cd4_mix,BCL7C,0.8934707903780069
cd4_mix,BRD1,0.5670103092783505
cd4_mix,BRPF1,1.0
cd4_mix,CAND1,0.8762886597938144
cd4_mix,CAPRIN2,0.859106529209622
cd4_mix,CARM1,1.0
cd4_mix,CAT,0.4948453608247423
cd4_mix,CCDC112,0.30927835051546393
cd4_mix,CDK8,0.9518900343642611
cd4_mix,CHD3,0.2542955326460481
cd4_mix,CHD6,0.8109965635738832
cd4_mix,CHKB,0.020618556701030966
cd4_mix,CLCN6,0.604810996563574
cd4_mix,COIL,0.8350515463917526
cd4_mix,COMMD8,0.563573883161512
cd4_mix,COQ10B,0.2955326460481099
cd4_mix,CSNK2A1,1.0
cd4_mix,CYTH2,0.872852233676976
cd4_mix,DBF4B,0.47079037800687284
cd4_mix,DBN1,0.9690721649484536
cd4_mix,DCAF16,0.2508591065292096
cd4_mix,DCP2,1.0
cd4_mix,DDHD1,0.7938144329896908
cd4_mix,DEAF1,0.6563573883161512
cd4_mix,DEK,0.5738831615120275
cd4_mix,DHRS1,0.9759450171821306
cd4_mix,DHX35,0.8556701030927836
cd4_mix,DLAT,0.16838487972508587
cd4_mix,DMTF1,0.9725085910652921
cd4_mix,DNTTIP1,1.0
cd4_mix,DRG2,1.0
cd4_mix,DTNBP1,0.3470790378006873
cd4_mix,DVL3,0.4020618556701031
cd4_mix,E2F1,0.9896907216494846
cd4_mix,E2F4,0.5360824742268041
cd4_mix,EAPP,0.1649484536082474
cd4_mix,ELK1,0.19931271477663226
cd4_mix,EPC2,0.9415807560137457
cd4_mix,EPM2AIP1,0.6082474226804124
cd4_mix,EZH2,0.9896907216494846
cd4_mix,FAM120A,0.9037800687285223
cd4_mix,FCGRT,0.711340206185567
cd4_mix,FHL3,0.570446735395189
cd4_mix,FOXN2,1.0
cd4_mix,FOXO4,0.9243986254295533
cd4_mix,FUBP3,0.6666666666666667
cd4_mix,FXYD5,0.70446735395189
cd4_mix,GIGYF2,1.0
cd4_mix,GLI3,0.8109965635738832
cd4_mix,GLYR1,0.9896907216494846
cd4_mix,GMEB2,0.9587628865979382
cd4_mix,GPATCH8,0.9587628865979382
cd4_mix,GRAMD1A,0.27491408934707906
cd4_mix,GTF2IRD1,0.18556701030927836
cd4_mix,HDAC1,0.2542955326460481
cd4_mix,HDAC8,0.5257731958762887
cd4_mix,HEATR6,0.9484536082474226
cd4_mix,HMGN3,0.3127147766323024
cd4_mix,HMGN4,0.6666666666666667
cd4_mix,HMGXB3,1.0
cd4_mix,HOMEZ,0.5532646048109966
cd4_mix,HSBP1,0.48453608247422686
cd4_mix,HSP90AB1,0.14432989690721654
cd4_mix,IFI27L2,0.6701030927835052
cd4_mix,IFNAR2,0.5945017182130584
cd4_mix,IFNGR2,0.4604810996563574
cd4_mix,IL10RB,0.979381443298969
cd4_mix,IREB2,0.44329896907216493
cd4_mix,KDM5A,0.9965635738831615
cd4_mix,KHDRBS1,0.9278350515463918
cd4_mix,KHSRP,1.0
cd4_mix,KIF21B,0.9759450171821306
cd4_mix,KIF2A,0.7903780068728522
cd4_mix,KMT2A,0.9896907216494846
cd4_mix,LDLR,0.9347079037800687
cd4_mix,LMAN1,0.18556701030927836
cd4_mix,LMBRD2,0.852233676975945
cd4_mix,LPCAT3,0.7285223367697595
cd4_mix,MAN2A1,0.38144329896907214
cd4_mix,MAP2K2,0.7079037800687284
cd4_mix,MAPK12,0.8969072164948454
cd4_mix,MAPK7,0.3711340206185567
cd4_mix,MARCKSL1,0.5567010309278351
cd4_mix,MBD4,0.2646048109965635
cd4_mix,MED13,0.8969072164948454
cd4_mix,MED15,0.8419243986254296
cd4_mix,MED25,0.9862542955326461
cd4_mix,MLKL,0.5945017182130584
cd4_mix,MLLT10,0.23367697594501713
cd4_mix,MSANTD4,0.9896907216494846
cd4_mix,MSI2,0.9828178694158075
cd4_mix,MTA1,0.4501718213058419
cd4_mix,MTF1,1.0
cd4_mix,MTHFSD,0.8797250859106529
cd4_mix,MTM1,0.8247422680412371
cd4_mix,MYD88,0.8006872852233677
cd4_mix,MYPOP,0.7663230240549828
cd4_mix,MYRF,0.993127147766323
cd4_mix,NABP2,1.0
cd4_mix,NAIF1,1.0
cd4_mix,NCLN,0.852233676975945
cd4_mix,NFE2L1,0.24742268041237114
cd4_mix,NGLY1,0.9106529209621993
cd4_mix,NIPAL3,0.5154639175257731
cd4_mix,NIPSNAP3A,0.6426116838487972
cd4_mix,NT5DC1,0.7250859106529209
cd4_mix,NUP37,0.9965635738831615
cd4_mix,PAN2,1.0
cd4_mix,PAPOLA,0.9450171821305842
cd4_mix,PARP3,1.0
cd4_mix,PATL1,0.5154639175257731
cd4_mix,PBLD,0.993127147766323
cd4_mix,PCGF1,1.0
cd4_mix,PCGF6,1.0
cd4_mix,PDCD4,0.19587628865979378
cd4_mix,PDE6D,0.8900343642611683
cd4_mix,PDK1,0.5051546391752577
cd4_mix,PDK3,0.26116838487972505
cd4_mix,PGLS,0.7560137457044673
cd4_mix,PHF11,0.6735395189003437
cd4_mix,PHF19,0.9828178694158075
cd4_mix,PHF23,1.0
cd4_mix,PHF8,1.0
cd4_mix,PI4KB,0.8969072164948454
cd4_mix,PIM2,0.563573883161512
cd4_mix,PIN1,0.8797250859106529
cd4_mix,PINK1,0.8213058419243986
cd4_mix,PKN3,0.6254295532646048
cd4_mix,PLAGL2,0.6872852233676976
cd4_mix,PLCG1,0.5017182130584192
cd4_mix,PNP,0.8006872852233677
cd4_mix,POLD4,0.5429553264604812
cd4_mix,POR,0.43986254295532645
cd4_mix,PPIF,0.8625429553264605
cd4_mix,PPIP5K2,0.1030927835051546
cd4_mix,PQBP1,1.0
cd4_mix,PRDX3,0.5841924398625429
cd4_mix,PRKAB2,0.6116838487972509
cd4_mix,PRKACA,0.33333333333333337
cd4_mix,PRMT2,0.45360824742268047
cd4_mix,PRMT6,0.9072164948453608
cd4_mix,PRMT7,0.6494845360824743
cd4_mix,PRNP,0.18900343642611683
cd4_mix,PSKH1,0.0
cd4_mix,PSMB9,0.19931271477663226
cd4_mix,PTMS,0.6151202749140894
cd4_mix,PTOV1,0.030927835051546393
cd4_mix,PYCR1,0.030927835051546393
cd4_mix,R3HCC1L,1.0
cd4_mix,RAB11FIP5,0.5841924398625429
cd4_mix,RAB5A,0.8969072164948454
