target,metric,matched,mismatched_median,discrimination
THAP7,raw_pearson,0.0534308044197573,-0.0019485749328439377,1.0
TRIM35,raw_pearson,0.03226491237263713,0.006687997060663463,0.9
UPF3B,raw_pearson,0.07925644026596039,0.0007906178596125797,1.0
UROS,raw_pearson,0.05622547772374234,-0.0005128271577110663,1.0
ZBTB34,raw_pearson,-0.004964410423853738,-0.006983106541076265,0.55
ZC3HAV1,raw_pearson,0.005952428851299034,-0.003552330802747552,0.6166666666666667
ZHX3,raw_pearson,0.10027166811154702,0.00044928254109321945,1.0
ZKSCAN2,raw_pearson,-0.03403924075327531,-0.00792816304051824,0.11666666666666667
ZKSCAN3,raw_pearson,-0.01887531439938259,0.005394272918180072,0.18333333333333332
ZNF219,raw_pearson,0.02262005360311653,0.005270020343770525,0.7833333333333333
ZNF25,raw_pearson,0.004340689935006637,0.009632608216009886,0.45
ZNF251,raw_pearson,0.005419139470394556,-0.006362719620508507,0.6833333333333333
ZNF324,raw_pearson,0.05398621585929716,0.006343592670194586,0.9166666666666666
ZNF410,raw_pearson,0.012448392357572115,-0.0009737679500323624,0.6666666666666666
ZNF821,raw_pearson,0.01838367349825765,0.0052527700661959996,0.75
ZRANB3,raw_pearson,0.02686398738874047,0.0031999916855949798,0.9
AGO1,source_mean_removed_cosine,0.04379741090728463,0.003969175219911825,0.9833333333333333
AKT2,source_mean_removed_cosine,-0.011521073959353523,-7.709591362832925e-05,0.31666666666666665
ALG12,source_mean_removed_cosine,0.0032331544361061428,0.002720432829311917,0.5
API5,source_mean_removed_cosine,-0.015273583998933827,-0.002386852763913295,0.3333333333333333
BCL6,source_mean_removed_cosine,-0.007267835452910295,-0.0025074075547180984,0.4166666666666667
BRPF1,source_mean_removed_cosine,0.07246420473454304,-0.004262189694133355,0.9666666666666667
C5orf22,source_mean_removed_cosine,0.122308104511592,-0.00668324190764564,1.0
CARM1,source_mean_removed_cosine,0.01522342072648223,-0.0009432508285705005,0.7
CHD3,source_mean_removed_cosine,0.019534373592779927,0.001641081373085061,0.85
COIL,source_mean_removed_cosine,0.053738795583185554,-0.004183910675773667,0.95
CYTH2,source_mean_removed_cosine,-0.007177654809261275,-0.0027574772908540044,0.4
DCP2,source_mean_removed_cosine,-0.054210976047024566,0.0011398263470927675,0.06666666666666667
DEK,source_mean_removed_cosine,-0.0028090435658596254,0.00016832929006288885,0.48333333333333334
DTNBP1,source_mean_removed_cosine,0.024924425616948676,-0.0015270963070113336,0.7666666666666667
ELK1,source_mean_removed_cosine,0.02208597425240568,-0.00218236679159973,0.8166666666666667
EPC2,source_mean_removed_cosine,0.06907313185569015,-0.0017053929887443837,1.0
EZH2,source_mean_removed_cosine,0.015820317620428907,0.001310182729608922,0.6666666666666666
FCGRT,source_mean_removed_cosine,-0.009406320605990682,0.003236240326732248,0.2833333333333333
GTF2IRD1,source_mean_removed_cosine,-0.007551016593429057,-3.2359246712388074e-05,0.38333333333333336
HMGXB3,source_mean_removed_cosine,0.10863487564669203,0.00036076400841271027,1.0
KMT2A,source_mean_removed_cosine,0.10863518894467251,-0.0014521506271013185,1.0
LDLR,source_mean_removed_cosine,0.03485608955363337,-0.0002014365807646736,0.9333333333333333
LENG1,source_mean_removed_cosine,0.04837456881205682,-0.0026586300725401656,0.9666666666666667
LPCAT3,source_mean_removed_cosine,-0.03537393251415231,-0.0008775958658464222,0.06666666666666667
MAP2K2,source_mean_removed_cosine,0.007287530487698947,0.002810861851431679,0.6166666666666667
MSANTD4,source_mean_removed_cosine,0.0031201598461999807,-0.0007547620249617467,0.55
MTF1,source_mean_removed_cosine,0.22205412697647808,-0.008799568158411594,1.0
MYPOP,source_mean_removed_cosine,0.04723442608089693,-0.007897367799389945,0.95
NAIF1,source_mean_removed_cosine,0.05149731923928466,0.0036800252952957422,0.9
PAN2,source_mean_removed_cosine,-0.011008160395661288,0.004176068494258915,0.31666666666666665
PHF19,source_mean_removed_cosine,-0.06964930068567166,0.005314760392625798,0.0
PHF23,source_mean_removed_cosine,0.19970561623318592,-0.0046842584333229124,1.0
PIN1,source_mean_removed_cosine,0.03379715773540564,-0.0026477678742844067,0.9
PPIF,source_mean_removed_cosine,0.0016809044137750335,0.0048141897146361905,0.4666666666666667
PRMT7,source_mean_removed_cosine,0.05247866056001312,-0.00038544421503992893,1.0
PRNP,source_mean_removed_cosine,-0.0313504720829939,-0.0022697851505818238,0.1
PSKH1,source_mean_removed_cosine,0.0023657994891085944,-0.003734946971639946,0.55
RABEP2,source_mean_removed_cosine,-0.03821821184308643,-0.0006903046178090896,0.06666666666666667
RBM26,source_mean_removed_cosine,0.14407375547270346,-0.0062288752848938716,1.0
RFK,source_mean_removed_cosine,0.0029553475406739233,0.00016380849257917064,0.55
RNF141,source_mean_removed_cosine,-0.004962531323744084,-0.00074571367141748,0.45
SH2D3A,source_mean_removed_cosine,-0.023863160552930418,-0.005586495248063534,0.16666666666666666
SMARCA5,source_mean_removed_cosine,0.03121108647197118,0.001597438328908889,0.8166666666666667
STT3A,source_mean_removed_cosine,0.02895017041143677,-0.0016907959908130314,0.9
TARBP2,source_mean_removed_cosine,0.004769436783295412,0.005909670568518736,0.48333333333333334
THAP7,source_mean_removed_cosine,0.06920437349776656,0.0011287787836777121,1.0
TRIM35,source_mean_removed_cosine,0.02256639683458374,-0.0014243657324509418,0.8333333333333334
