target,class,cosine,energy_k562,energy_cd4_mix,cells_k562,cells_cd4_mix
THAP8,other,0.0611592,119.405,17.9093,108,1337
THAP9,other,0.0102822,46.8711,32.2348,241,727
THEM4,other,0.0139712,123.374,14.9162,105,1848
THEM6,other,0.0257745,162.02,14.8659,88,2851
THEMIS2,other,0.0491924,120.149,17.5939,124,1509
THG1L,other,0.0533943,520.112,193.815,54,104
THOC1,other,0.00128222,292.547,164.07,55,115
THOC2,other,0.00814522,357.94,595.396,47,10
THOC5,other,-0.0184099,1553.18,583.095,21,35
THOC6,other,0.185685,59.0644,55.5981,291,1490
THOC7,other,0.0938301,121.298,171.152,153,120
THOP1,other,0.0162422,57.0811,22.3209,255,1568
THRA,other,0.0205317,45.8783,32.1781,295,840
THRAP3,other,0.15648,96.3343,42.3285,175,1635
THRB,other,0.0422763,40.0449,19.1529,305,3204
THTPA,other,-0.0203566,1445.15,30.7986,21,883
THUMPD1,other,-0.0153648,258.68,57.6798,73,1668
THUMPD2,other,0.0369317,32.3589,22.0939,366,3942
THUMPD3,other,0.0149048,51.3117,21.3623,239,1821
THYN1,other,0.0237495,164.035,24.7509,83,6545
TIA1,other,0.0401644,129.225,52.1525,121,3739
TIAL1,other,0.0215115,5005.38,33.5643,13,1876
TIFA,other,0.015261,949.39,33.3232,30,653
TIGD1,other,-0.0110774,96.5922,35.9708,133,1506
TIGD2,other,-0.0283179,190.654,26.9861,72,866
TIGD3,other,0.03431,71.1143,20.1638,189,3049
TIGD4,other,0.0209628,50.2515,35.589,251,3911
TIGD5,other,-0.0109665,259.481,29.4633,53,911
TIGD6,other,0.00565061,57.7844,48.8068,229,565
TIGD7,other,0.0172327,138.496,24.9146,100,1214
TIMM10,other,-0.0233544,93.8826,89.8948,140,782
TIMM10B,other,0.0876241,60.9812,18.48,209,2403
TIMM13,other,0.0561272,96.8599,56.9392,237,356
TIMM17A,other,0.0245449,116.211,21.2784,129,1460
TIMM21,other,0.009555,172.685,25.8637,70,6162
TIMM22,other,0.0369383,123.704,500.508,111,43
TIMM29,other,0.0227422,71.9628,32.3651,183,592
TIMM8A,other,0.00339282,34.8451,17.0557,405,1504
TIMM8B,other,-0.0103038,38.8187,89.6007,325,313
TIMM9,other,0.0299197,58.9002,73.3094,314,227
TIMMDC1,other,0.000474132,450.753,47.9536,43,1529
TIMP1,other,0.0629017,37.2908,46.6669,418,438
TINF2,other,0.0464022,118.812,188.123,115,67
TIPARP,other,0.0427133,529.529,42.1682,44,689
TIPIN,other,-0.0164068,70.1906,32.5717,210,658
TIPRL,other,0.0410927,141.281,41.4801,106,1715
TJAP1,other,0.0187211,41.0392,24.4703,301,1006
TJP2,other,0.011174,41.9856,31.4406,299,664
TK1,other,0.00182075,168.472,19.9505,98,1560
TKT,other,0.0359268,27.0018,48.7819,484,415
