held_out,arm,targets,pds_proxy,reach_proxy,prec_200_shared,mse_ratio,mse_ratio_best_scale,detectable_median,pds_minus_t20like,pds_ci95,reach_minus_t20like,reach_ci95,prec_minus_t20like,prec_ci95
cd4_mix,gene_beta_pos,292,0.7319587628865979,0.005616198559527026,0.5213527397260275,1.0023999143606799,0.9993536948601952,5.0,0.0396954290825213,"[0.016874676363978724, 0.06482223555994916]",-0.001413569166104369,"[-0.0030632189277559584, 4.153213546327259e-06]",-0.0011986301369862988,"[-0.006455479452054786, 0.004229452054794521]"
cd4_mix,t20_rw0.25,292,0.7105987854822765,0.00707764904902301,0.5234931506849314,1.335000203605165,0.998964937235067,294.0,0.018335451678199884,"[0.009579332015252094, 0.028174575154168432]",4.788132339161526e-05,"[-0.0004292003528859057, 0.0005132993320901915]",0.0009417808219178072,"[-0.0019863013698630133, 0.0037842465753424636]"
cd4_mix,t20_rw0.5,292,0.7199548086428471,0.007614429564476155,0.5232876712328768,1.6299862124981521,0.9987372895595668,294.0,0.02769147483877042,"[0.013063126677023027, 0.04260256319728852]",0.0005846618388447606,"[-0.00016190536118293415, 0.001388457726950116]",0.000736301369863015,"[-0.0034255136986301384, 0.004880565068493148]"
cd4_mix,t20_rw1.0,292,0.7227086569693546,0.007537845245858196,0.5234760273972603,10.405284723620007,0.9990376834175896,293.5,0.030445323165277975,"[0.0056106717506943515, 0.054217860000941476]",0.0005080775202268025,"[-0.0003789298476043803, 0.0013422422066084465]",0.0009246575342465802,"[-0.004144691780821915, 0.00566909246575342]"
cd4_mix,t20_sign_mag,292,0.6904274349197382,0.006181264646842033,0.5181849315068493,1.2754469735894134,0.9995141790103406,293.5,-0.0018358988843383698,"[-0.026150084733794658, 0.02384491361860376]",-0.0008485030787893617,"[-0.0023980124096927317, 0.0003499549792635474]",-0.004366438356164378,"[-0.011576198630136978, 0.0030997431506849344]"
cd4_mix,gbpos_rw0.5,292,0.7393965070846867,0.005879386584294381,0.5213698630136987,2.3238216851354503,0.9986846201621417,293.5,0.047133173280610084,"[0.019192792920020713, 0.07611007155298215]",-0.0011503811413370135,"[-0.0026239654749631272, 0.0001264174005454698]",-0.001181506849315064,"[-0.006079195205479448, 0.004160958904109592]"
orion_hct116,t20like,265,0.7084048027444254,0.04771864576279752,0.5154716981132075,1.259057658510061,0.9996647616432428,483.0,,,,,,
orion_hct116,lct_c,265,0.5721983990851915,0.22397194612500004,0.5871698113207549,1.0067999637470082,0.9955213614259415,40.0,-0.13620640365923384,"[-0.17868782161234992, -0.088174671240709]",0.17625330036220252,"[0.14790492696213767, 0.20753331594174793]",0.07169811320754717,"[0.06054716981132076, 0.08367924528301886]"
orion_hct116,gene_beta_pos,265,0.6962692967409948,0.044485963104810906,0.5146226415094339,1.0123903925020845,0.9998532138299463,30.0,-0.012135506003430531,"[-0.031164594053745, 0.006148870783304735]",-0.0032326826579866077,"[-0.009466017728722234, 0.003014648006442381]",-0.0008490566037735848,"[-0.00569858490566038, 0.003830660377358489]"
orion_hct116,t20_rw0.25,265,0.7205260148656375,0.0514146322126235,0.5196226415094339,1.389387147332038,0.999624930879353,482.0,0.012121212121212121,"[0.0034730560320182977, 0.02059855631789594]",0.003695986449825979,"[0.0007591601511882478, 0.00680051646839425]",0.004150943396226417,"[0.001320283018867928, 0.006735849056603776]"
orion_hct116,t20_rw0.5,265,0.7270583190394512,0.052512125172628536,0.523056603773585,1.7764376719998936,0.9996458502118927,482.0,0.01865351629502573,"[0.002500000000000004, 0.03424921383647799]",0.004793479409831017,"[0.00017098046188518967, 0.009434977212218741]",0.007584905660377357,"[0.0038679245283018875, 0.01109575471698113]"
orion_hct116,t20_rw1.0,265,0.7272155517438537,0.0525981885959266,0.5249433962264152,7.587233643980209,0.9997661568137318,482.0,0.01881074899942825,"[-0.006046312178387646, 0.045641795311606635]",0.004879542833129076,"[-0.0007721034205231373, 0.010509120666103287]",0.00947169811320755,"[0.004753301886792458, 0.014283490566037733]"
orion_hct116,t20_sign_mag,265,0.7087478559176673,0.04196290924789737,0.5073773584905661,1.2365863699820552,0.9998090674976958,482.0,0.00034305317324185555,"[-0.02052672955974843, 0.021199256718124636]",-0.005755736514900146,"[-0.014338421302653323, 0.0022420643547995662]",-0.008094339622641512,"[-0.016360377358490566, 0.0006415094339622599]"
orion_hct116,gbpos_rw0.5,265,0.7204116638078902,0.04781081504158467,0.5162830188679245,2.7071654356201633,0.9997822782796102,483.0,0.012006861063464836,"[-0.012007218410520298, 0.03566502287021155]",9.216927878715313e-05,"[-0.006937079526034627, 0.0072620378487257406]",0.000811320754716981,"[-0.004113679245283022, 0.0056985849056603805]"
orion_hek293t,t20like,278,0.676583642833026,0.042099754524293834,0.5208453237410071,1.4555003297987854,0.9996587024128957,486.0,,,,,,
orion_hek293t,lct_c,278,0.5522296963872946,0.1485932315923286,0.5392985611510792,1.0394204545076557,0.9989786429664876,48.0,-0.1243539464457315,"[-0.1713587252941329, -0.07438121704802225]",0.10649347706803476,"[0.08366680625143949, 0.1295068159002069]",0.01845323741007194,"[0.008021133093525172, 0.028815647482014373]"
orion_hek293t,gene_beta_pos,278,0.6695322442407086,0.043754085372033846,0.5193705035971222,1.0229546721622145,0.9998403880916819,30.0,-0.0070513985923174784,"[-0.03153520504895722, 0.016742851206399477]",0.0016543308477400137,"[-0.004683526716079161, 0.00783694392173154]",-0.0014748201438848927,"[-0.006511241007194244, 0.003273830935251792]"
orion_hek293t,t20_rw0.25,278,0.6937511362750954,0.04473936223171324,0.523363309352518,1.6729355654524387,0.9995909106898706,486.0,0.01716749344206945,"[0.007674077344622494, 0.02809066825961613]",0.0026396077074194078,"[0.00019316174628632426, 0.005314464923116847]",0.002517985611510792,"[-3.597122302158081e-05, 0.005090377697841726]"
orion_hek293t,t20_rw0.5,278,0.7028413370386722,0.04709509910539489,0.5234892086330936,2.362628420891648,0.9995529397465827,485.5,0.02625769420564631,"[0.010048567644079685, 0.04268660883567513]",0.004995344581101063,"[0.0015795676915736658, 0.008583401538321291]",0.0026438848920863284,"[-0.001116007194244609, 0.006151079136690644]"
