held_out,context,variant,amplitude,median_q99_abs,pds_proxy_noisy,pds_proxy_noisy_sd_seeds,targets
orion_hek293t,A,raw,0.788,0.46013239035563763,0.6513734860487062,0.006388833923992812,278
orion_hek293t,A,raw,1.576,0.9202647807112753,0.6498541239210797,0.0033411533680486544,278
orion_hek293t,A,zk16,5.9738,0.229091,0.7152299820793185,0.007712511300473656,278
orion_hek293t,A,zk16,11.9477,0.458182,0.7145373953544745,0.004266796755984664,278
orion_hek293t,A,zk64,19.2592,0.229091,0.7235193794422945,0.0071534703205630166,278
orion_hek293t,A,zk64,38.5183,0.458182,0.7179267416391797,0.004000508075271905,278
orion_hek293t,B,raw,0.197,0.11503309758890941,0.6131773281735622,0.010618284634504534,278
orion_hek293t,B,raw,0.394,0.23006619517781882,0.6338120839068817,0.007864738914741045,278
orion_hek293t,B,raw,0.788,0.46013239035563763,0.6408375104970174,0.005351034383453708,278
orion_hek293t,B,raw,1.576,0.9202647807112753,0.637062912846618,0.0030174938851783343,278
orion_hek293t,B,zk16,5.9738,0.229091,0.7099706516375348,0.006326844056962631,278
orion_hek293t,B,zk16,11.9477,0.458182,0.7082175414902735,0.0029471642930767343,278
orion_hek293t,B,zk64,19.2592,0.229091,0.7138231652944792,0.006294664784045364,278
orion_hek293t,B,zk64,38.5183,0.458182,0.7082435134924552,0.0030907773837492657,278
orion_hek293t,C,raw,0.197,0.11503309758890941,0.6170687998337792,0.005403893080222938,278
orion_hek293t,C,raw,0.394,0.23006619517781882,0.6377035555670987,0.0033362820286787728,278
orion_hek293t,C,raw,0.788,0.46013239035563763,0.6448415275000217,0.002200589760178471,278
orion_hek293t,C,raw,1.576,0.9202647807112753,0.6424780753014917,0.0013890098290549895,278
orion_hek293t,C,zk16,5.9738,0.229091,0.7095204702663862,0.0033098823471761143,278
orion_hek293t,C,zk16,11.9477,0.458182,0.7083387441671212,0.0017519180224938584,278
orion_hek293t,C,zk64,19.2592,0.229091,0.7160351141469495,0.002716051439365623,278
orion_hek293t,C,zk64,38.5183,0.458182,0.7087759395371789,0.0014633327634388591,278
