model,uses_context,protocol,direction_id,seed,pooled_mse_vs_null,pearson_median,coverage_targets,n_total_params,n_trainable_params,train_seconds,infer_seconds,peak_rss_bytes,artifact_bytes,calibration_label,context_identifiable,verdict_eligible
modular_frozen__no_ctx,False,new_context_unseen_target,k562_rpe1_to_hepg2,2026,1.0744488049079308,0.15530148209832595,1.0,110309,200,6.078011000005063,0.029336300009163097,478150656,844680,cross_context_within_training,True,False
lowrank_linear__with_ctx,True,new_context_unseen_target,k562_rpe1_to_hepg2,2027,1.3037410543854129,0.17155804563518823,1.0,58680,387,2.510841799987247,0.04584929998964071,478150656,448357,cross_context_within_training,True,False
lowrank_linear__no_ctx,False,new_context_unseen_target,k562_rpe1_to_hepg2,2027,1.0636947026761188,0.1731810618753324,1.0,58347,54,1.8259205999784172,0.0214583000051789,478150656,445833,cross_context_within_training,True,False
modular_frozen__with_ctx,True,new_context_unseen_target,k562_rpe1_to_hepg2,2027,1.052398461750441,0.16939824264196024,1.0,58717,424,3.102182799979346,0.030982600001152605,478150656,449982,cross_context_within_training,True,False
modular_frozen__no_ctx,False,new_context_unseen_target,k562_rpe1_to_hepg2,2027,1.0562993365159485,0.17288932835566723,1.0,58421,128,3.0291734999918845,0.020104399998672307,478150656,447089,cross_context_within_training,True,False
lowrank_linear__with_ctx,True,new_context_unseen_target,k562_hepg2_to_rpe1,2026,0.8824734284236118,0.34652630992695405,1.0,58680,387,1.8088719999941532,0.02311320000444539,478150656,447754,cross_context_within_training,True,False
lowrank_linear__no_ctx,False,new_context_unseen_target,k562_hepg2_to_rpe1,2026,0.8931402503772891,0.3352688703081481,1.0,58347,54,1.1875239000073634,0.01950679998844862,478150656,445227,cross_context_within_training,True,False
modular_frozen__with_ctx,True,new_context_unseen_target,k562_hepg2_to_rpe1,2026,0.8824588027298768,0.3146380259715662,1.0,110605,496,1.7206052000110503,0.01813050001510419,478150656,847090,cross_context_within_training,True,False
modular_frozen__no_ctx,False,new_context_unseen_target,k562_hepg2_to_rpe1,2026,0.8916533629386996,0.316328061378976,1.0,58421,128,1.8956916000170168,0.01775119997910224,478150656,446482,cross_context_within_training,True,False
lowrank_linear__with_ctx,True,new_context_unseen_target,k562_hepg2_to_rpe1,2027,0.8784656321136979,0.36231356952832394,1.0,58680,387,2.311937400023453,0.027587100019445643,478150656,447695,cross_context_within_training,True,False
lowrank_linear__no_ctx,False,new_context_unseen_target,k562_hepg2_to_rpe1,2027,0.8876278376603357,0.34626068468862964,1.0,58347,54,2.367971200001193,0.03159959998447448,478150656,445170,cross_context_within_training,True,False
modular_frozen__with_ctx,True,new_context_unseen_target,k562_hepg2_to_rpe1,2027,0.8819892206252734,0.3366002806936206,1.0,58717,424,3.081826200010255,0.04200899999705143,478150656,449296,cross_context_within_training,True,False
modular_frozen__no_ctx,False,new_context_unseen_target,k562_hepg2_to_rpe1,2027,0.8901025589541706,0.34034230112414,1.0,110309,200,3.1831351000000723,0.03335199999855831,478150656,844216,cross_context_within_training,True,False
lowrank_linear__with_ctx,True,new_context_unseen_target,rpe1_hepg2_to_k562,2026,1.0773410997498039,0.1023220670612636,1.0,58680,387,2.1792512999963947,0.0265625000174623,478150656,448384,cross_context_within_training,True,False
lowrank_linear__no_ctx,False,new_context_unseen_target,rpe1_hepg2_to_k562,2026,1.2110671088007214,0.10133152725680389,1.0,58347,54,1.7395736000034958,0.03722550001111813,478150656,445860,cross_context_within_training,True,False
modular_frozen__with_ctx,True,new_context_unseen_target,rpe1_hepg2_to_k562,2026,1.1828443607174346,0.10259535012057705,1.0,110605,496,2.749631999991834,0.028426700009731576,478150656,847797,cross_context_within_training,True,False
modular_frozen__no_ctx,False,new_context_unseen_target,rpe1_hepg2_to_k562,2026,1.2221006402962673,0.09778137759357691,1.0,58421,128,3.326020000007702,0.019554600003175437,478150656,447115,cross_context_within_training,True,False
lowrank_linear__with_ctx,True,new_context_unseen_target,rpe1_hepg2_to_k562,2027,1.047881890505581,0.09841424766700861,1.0,58680,387,1.838383900001645,0.029979600018123165,478150656,448320,cross_context_within_training,True,False
lowrank_linear__no_ctx,False,new_context_unseen_target,rpe1_hepg2_to_k562,2027,1.140387320704826,0.09923353193860324,1.0,58347,54,1.695644399995217,0.027140399994095787,478150656,445784,cross_context_within_training,True,False
modular_frozen__with_ctx,True,new_context_unseen_target,rpe1_hepg2_to_k562,2027,1.0752092312657464,0.08862685050741444,1.0,110605,496,3.1554503999941517,0.02861119998851791,478150656,847749,cross_context_within_training,True,False
modular_frozen__no_ctx,False,new_context_unseen_target,rpe1_hepg2_to_k562,2027,1.1375579043121649,0.09912811077348781,1.0,58421,128,2.365451199992094,0.028548400005092844,478150656,447040,cross_context_within_training,True,False
