model,uses_context,protocol,direction_id,seed,pooled_mse_vs_null,pearson_median,coverage_targets,n_total_params,n_trainable_params,train_seconds,infer_seconds,peak_rss_bytes,artifact_bytes,calibration_label,context_identifiable,verdict_eligible
modular_frozen__with_ctx,True,new_context_unseen_target,k562_hepg2_to_rpe1,2027,0.8729838298010173,0.3523465382727432,1.0,58717,424,1.3723430000245571,0.03785520000383258,479330304,449351,cross_context_within_training,True,False
modular_frozen__no_ctx,False,new_context_unseen_target,k562_hepg2_to_rpe1,2027,0.8854971851281651,0.3466652769348395,1.0,58421,128,0.9440604999836069,0.031200600002193823,479330304,446458,cross_context_within_training,True,False
lowrank_linear__with_ctx,True,new_context_unseen_target,rpe1_hepg2_to_k562,2026,1.0780468336703215,0.10221218077494591,1.0,58680,387,0.6955274999781977,0.03495409997412935,479330304,448416,cross_context_within_training,True,False
lowrank_linear__no_ctx,False,new_context_unseen_target,rpe1_hepg2_to_k562,2026,1.2108111055002073,0.10120375144271865,1.0,58347,54,0.8356849999981932,0.04313269999693148,479330304,445889,cross_context_within_training,True,False
modular_frozen__with_ctx,True,new_context_unseen_target,rpe1_hepg2_to_k562,2026,1.18960191975634,0.10102231878446022,1.0,110605,496,1.4610343000094872,0.03989230000297539,479330304,847828,cross_context_within_training,True,False
modular_frozen__no_ctx,False,new_context_unseen_target,rpe1_hepg2_to_k562,2026,1.2264414390489602,0.09754047562977342,1.0,58421,128,1.1554141999804415,0.0395219000056386,479330304,447146,cross_context_within_training,True,False
lowrank_linear__with_ctx,True,new_context_unseen_target,rpe1_hepg2_to_k562,2027,1.0479619440302363,0.09877174960908026,1.0,58680,387,0.7221501999883913,0.029549400001997128,479330304,448398,cross_context_within_training,True,False
lowrank_linear__no_ctx,False,new_context_unseen_target,rpe1_hepg2_to_k562,2027,1.1401152613652166,0.0999280040456445,1.0,58347,54,0.828779300005408,0.038849900010973215,479330304,445871,cross_context_within_training,True,False
modular_frozen__with_ctx,True,new_context_unseen_target,rpe1_hepg2_to_k562,2027,1.1123622998022424,0.09310067159739913,1.0,58717,424,1.390009499998996,0.0381665000168141,479330304,450016,cross_context_within_training,True,False
modular_frozen__no_ctx,False,new_context_unseen_target,rpe1_hepg2_to_k562,2027,1.1502578741982143,0.0946726134456346,1.0,110309,200,1.41015279997373,0.04719679997651838,479330304,844913,cross_context_within_training,True,False
