held_out,variant,context_weights,targets,pds_proxy,median_q99_abs,prec_50,prec_200,prec_800,yield_50,yield_200,yield_800,up_50,up_200,up_800,n_conf
cd4_mix,zk64,A,292,0.7010544650002353,0.03265983950689053,0.5387671232876712,0.5282876712328767,0.5190453767123289,0.5387671232876712,0.5282876712328767,0.5190453767123289,0.6385616438356164,0.5441780821917808,0.4675856164383563,0.0
cd4_mix,zk64,B,292,0.6963470319634704,0.03265983950689053,0.5428082191780822,0.5305993150684931,0.5213827054794521,0.5428082191780822,0.5305993150684931,0.5213827054794521,0.6001369863013699,0.5289554794520548,0.46999571917808214,0.0
cd4_mix,zk64,C,292,0.696135197476816,0.03265983950689053,0.5345890410958904,0.5273116438356165,0.5202825342465753,0.5345890410958904,0.5273116438356165,0.5202825342465753,0.6205479452054794,0.5355650684931507,0.4690282534246576,0.0
cd4_mix,zk4_ivw,A,292,0.6722920491456009,0.2128049651749781,0.5269178082191781,0.5216780821917808,0.5167594178082191,0.5269178082191781,0.5216780821917808,0.5167594178082191,0.6282876712328768,0.5870205479452055,0.5551027397260274,0.0
cd4_mix,zk4_ivw,B,292,0.6618533163865744,0.2128049651749781,0.5345205479452055,0.523304794520548,0.5178296232876712,0.5345205479452055,0.523304794520548,0.5178296232876712,0.604041095890411,0.582722602739726,0.5603253424657534,0.0
cd4_mix,zk4_ivw,C,292,0.6646777762086333,0.2128049651749781,0.5268493150684932,0.5208390410958903,0.5167765410958904,0.5268493150684932,0.5208390410958903,0.5167765410958904,0.6177397260273972,0.58625,0.5593279109589041,0.0
orion_hct116,raw,A,265,0.6966552315608919,0.5825607128250688,0.5006037735849056,0.5022264150943395,0.5079198113207547,0.411036803509117,0.4931998940357138,0.5079198113207547,0.38150943396226417,0.41824528301886793,0.4612216981132075,70.70943396226416
orion_hct116,raw,B,265,0.6891223556317896,0.5825607128250688,0.5115471698113208,0.5100943396226415,0.5102877358490566,0.41816597856913806,0.5009917317457929,0.5102877358490566,0.39735849056603767,0.43239622641509434,0.4670377358490566,71.3622641509434
orion_hct116,raw,C,265,0.6771726700971985,0.5825607128250688,0.5068679245283019,0.5057735849056604,0.5087688679245282,0.41150746200259797,0.49637709101024774,0.5087688679245282,0.3889056603773585,0.4286037735849056,0.46388679245283015,73.55471698113207
orion_hct116,zk1,A,242,0.7070916635231987,0.14365725268283014,0.5254545454545454,0.5150206611570247,0.5121022727272727,0.47237489961294066,0.5100663494873365,0.5121022727272727,0.29595041322314053,0.3916115702479339,0.4767045454545454,50.96694214876033
