held_out,arm,targets,pds_proxy,reach_proxy,prec_200_shared,prec_cohort,mse_ratio,mse_ratio_best_scale,best_scale,detectable_median,scale_vs_model,beta_info,pds_minus_t20like,pds_ci95,reach_minus_t20like,reach_ci95,prec_minus_t20like,prec_ci95
cd4_mix,gene_beta_pos,292,0.7319587628865979,0.005616198559527026,0.5213527397260275,292,1.0023999143606799,0.9993536948601952,0.31535695253982726,5.0,,,0.0396954290825213,"[0.014814585981264422, 0.06442151532269454]",-0.001413569166104369,"[-0.0032273587416127227, -4.349261484731635e-06]",-0.0011986301369862988,"[-0.006507705479452053, 0.004247003424657532]"
cd4_mix,lct_c,292,0.5830155816033518,0.006820134372480534,0.5192465753424658,292,1.014283721239746,0.9998019941777494,0.10468936047618124,8.0,4.038709647054136,,-0.10924775220072494,"[-0.15240726356917575, -0.06574606929341432]",-0.00020963335315086194,"[-0.0019436743496671935, 0.0017045515739487573]",-0.003304794520547943,"[-0.013562928082191783, 0.007003852739726028]"
cd4_mix,lct_c_matched,292,0.5830155816033518,0.006820134372480534,0.5192465753424658,292,1.2794077168699947,0.999801994177008,0.02592148730131671,294.0,4.038709647054136,,-0.10924775220072494,"[-0.15289919032151766, -0.06575989737795981]",-0.00020963335315086194,"[-0.0020207202781431293, 0.0015886645522098068]",-0.003304794520547943,"[-0.014058219178082186, 0.006593321917808218]"
cd4_mix,lct_c+t20like,292,0.6389869604104881,0.008712035401331593,0.5294349315068493,292,1.6368527220785811,0.9992644865982381,0.03284880100364827,870.0,4.038709647054136,,-0.05327637339358847,"[-0.0863001930047545, -0.02018135385774139]",0.0016822676757001999,"[0.0007117231948356541, 0.0028222993969946645]",0.006883561643835618,"[0.0012144691780821982, 0.013013698630136988]"
orion_hct116,t16like,265,0.6948542024013722,0.036792859802304526,0.5058679245283019,265,1.2153753433919,0.99973046688856,0.03414661792512533,468.0,,,-0.013550600343053174,"[-0.024099842767295602, -0.0022709405374499816]",-0.010925785960492993,"[-0.015923039855832245, -0.006303709242143095]",-0.00960377358490566,"[-0.013491509433962264, -0.005886320754716982]"
orion_hct116,t20like,265,0.7084048027444254,0.04771864576279752,0.5154716981132075,265,1.259057658510061,0.9996647616432428,0.03470236351176358,483.0,,,,,,,,
orion_hct116,gene_beta,265,0.6812607204116637,0.03456224154706584,0.5094905660377359,265,1.0153516247399046,0.999901399262684,0.07397664171441862,35.0,,"{0: {'beta_bar': 0.13743794414273358, 'lambda': 0.6744760198608495, 'beta_quantiles': [-0.09606955100012592, 0.046239048897088283, 0.11624435224070846, 0.1842159418353938, 0.38508864814829]}, 1: {'beta_bar': 0.13825535048620308, 'lambda': 0.577017437502106, 'beta_quantiles': [-0.08263191791061715, 0.046810325267717515, 0.11663762929973993, 0.1793712702039613, 0.38158785463832506]}, 2: {'beta_bar': 0.13471710753850535, 'lambda': 0.6721268779174392, 'beta_quantiles': [-0.10036450493605725, 0.04431928938953992, 0.11729143478754067, 0.18579779193033427, 0.3854785530589029]}}",-0.02714408233276158,"[-0.054132361349342475, -0.0027251286449399953]",-0.013156404215731676,"[-0.022980109728069666, -0.003988515595635944]",-0.005981132075471698,"[-0.011566509433962263, -0.00018820754716981653]"
orion_hct116,gene_beta_pos,265,0.6962692967409948,0.044485963104810906,0.5146226415094339,265,1.0123903925020845,0.9998532138299463,0.0976389302032981,30.0,,,-0.012135506003430531,"[-0.030249428244711257, 0.0063893653516295034]",-0.0032326826579866077,"[-0.009553481845699091, 0.0032170277236619874]",-0.0008490566037735848,"[-0.005604716981132076, 0.004037735849056604]"
orion_hct116,lct_c,265,0.5721983990851915,0.22397194612500004,0.5871698113207549,265,1.0067999637470082,0.9955213614259415,0.3865602974742152,40.0,2.7422791058964933,,-0.13620640365923384,"[-0.18036199256718125, -0.0899599771297885]",0.17625330036220252,"[0.14593344256565338, 0.20759911159015443]",0.07169811320754717,"[0.059546226415094335, 0.08326462264150943]"
orion_hct116,lct_c_matched,265,0.5721983990851915,0.22397194612500004,0.5871698113207549,265,1.1618466945084773,0.9955213614257189,0.14096315148378116,483.0,2.7422791058964933,,-0.13620640365923384,"[-0.18278016009148085, -0.08992281303602058]",0.17625330036220252,"[0.14758234988010308, 0.20810838967412243]",0.07169811320754717,"[0.05977358490566038, 0.08279433962264149]"
orion_hct116,lct_c+t20like,265,0.6348484848484849,0.1311871383154551,0.5427358490566039,265,1.5821933367338847,0.9974188430213797,0.06229850253852392,1264.0,2.7422791058964933,,-0.07355631789594054,"[-0.10816395082904517, -0.036867495711835396]",0.08346849255265756,"[0.06542924678947404, 0.10372359768039491]",0.027264150943396227,"[0.021997641509433962, 0.03313254716981132]"
orion_hek293t,t16like,278,0.6589356673505962,0.03731241137905698,0.5170143884892087,278,1.380179620173644,0.9997401288585182,0.025470142821744816,472.0,,,-0.017647975482429943,"[-0.02892242162948342, -0.005674557826662861]",-0.004787343145236846,"[-0.00855410657116234, -0.0011664724008098603]",-0.003830935251798561,"[-0.007824190647482018, 7.23920863309356e-05]"
orion_hek293t,t20like,278,0.676583642833026,0.042099754524293834,0.5208453237410071,278,1.4555003297987854,0.9996587024128957,0.026633963855256838,486.0,,,,,,,,
orion_hek293t,gene_beta,278,0.6587798353375062,0.037823207229620875,0.5123920863309352,278,1.0281777286769098,0.99989167042885,0.05827867904317949,35.5,,"{0: {'beta_bar': 0.13743794414273358, 'lambda': 0.6744760198608495, 'beta_quantiles': [-0.09606955100012592, 0.046239048897088283, 0.11624435224070846, 0.1842159418353938, 0.38508864814829]}, 1: {'beta_bar': 0.13825535048620308, 'lambda': 0.577017437502106, 'beta_quantiles': [-0.08263191791061715, 0.046810325267717515, 0.11663762929973993, 0.1793712702039613, 0.38158785463832506]}, 2: {'beta_bar': 0.13471710753850535, 'lambda': 0.6721268779174392, 'beta_quantiles': [-0.10036450493605725, 0.04431928938953992, 0.11729143478754067, 0.18579779193033427, 0.3854785530589029]}}",-0.017803807495519828,"[-0.04761057579928837, 0.013388891774666909]",-0.004276547294672947,"[-0.011374679485091839, 0.003380384204608122]",-0.008453237410071942,"[-0.014406474820143888, -0.0024276079136690636]"
orion_hek293t,gene_beta_pos,278,0.6695322442407086,0.043754085372033846,0.5193705035971222,278,1.0229546721622145,0.9998403880916819,0.07672281447475318,30.0,,,-0.0070513985923174784,"[-0.031349505233358436, 0.016834077864062522]",0.0016543308477400137,"[-0.004669680373653738, 0.008010945763651084]",-0.0014748201438848927,"[-0.006637140287769781, 0.003615107913669063]"
orion_hek293t,lct_c,278,0.5522296963872946,0.1485932315923286,0.5392985611510792,278,1.0394204545076557,0.9989786429664876,0.13712629065912255,48.0,2.6058929388687515,,-0.1243539464457315,"[-0.1724300703841259, -0.07406533257148798]",0.10649347706803476,"[0.08371103005924845, 0.131281238035068]",0.01845323741007194,"[0.007859262589928055, 0.02881429856115106]"
