target,pathway,mean_r,median_r,mean_delta_r,min_delta_r,positive_contexts,mean_delta_sign
GUK1,IFNG,0.017278888783413535,0.01645503569014755,-0.011610973590183536,-0.0869670071954,3,0.030000000000000027
MEF2A,IFNB,-0.008065862032664583,-0.0063291794180668996,-0.011757240103439917,-0.0442675806049301,2,-1.850371707708594e-17
ZNF22,TNFA,-0.008705610989056317,-0.012961835713850699,-0.012336141985133733,-0.0461780658646908,1,0.011666666666666678
SP110,IFNG,0.008840357212218717,0.01739920122401,-0.012497664333605033,-0.0456053886356621,2,-0.020000000000000018
SP100,IFNB,0.030455205859878483,0.024178249498646,-0.012865340326317717,-0.054833297954215494,2,0.0
ETV7,IFNG,-0.009671546748924583,-0.007628279412199349,-0.013917609611845017,-0.0502429194199055,1,-0.03
RNF14,IFNG,0.0031899856803593,0.0039709725057284,-0.014390118287564965,-0.09988661593083299,4,0.024999999999999984
IRF7,IFNB,0.005502407145172549,0.0135658154170979,-0.014390446919184232,-0.0595362880375013,2,0.003333333333333336
PPARG,IFNG,0.00603165047171125,0.0003671775850556,-0.0145356956006937,-0.0907408438410773,3,0.024999999999999984
REPIN1,TNFA,-0.024690074303775,-0.02933262919514415,-0.014798955334989934,-0.0643599056997815,2,0.0
FOS,INS,0.001787948840241433,0.0068557824691809505,-0.014937066036785669,-0.0344499068993331,1,-0.00999999999999999
FOS,IFNB,-0.007425819279546199,-0.00242240615205955,-0.015102691871379236,-0.0906097657034173,2,-0.11833333333333333
FOXO4,INS,0.01957904235428865,0.01748319364952215,-0.015461798474498453,-0.0584729656456201,2,0.0
IRF7,IFNG,-0.018618987643505634,-0.016901562734889,-0.015642221545857284,-0.0410859897224104,1,0.025000000000000012
ZNFX1,IFNG,-0.011086826473468417,-0.0065669355163276,-0.015927977097138318,-0.0305857318976323,1,-0.040000000000000015
STAT4,IFNB,-0.011228211600261934,-0.01393124188512275,-0.016031845655411683,-0.032770554321072995,1,-0.001666666666666668
MYC,IFNB,0.0013701545847116837,0.0019628135927498,-0.016075562704185815,-0.07748687863918749,3,0.0
SHC1,INS,-0.0065391453843547985,-0.00301098033884825,-0.016469406918546033,-0.0997998969439251,3,-0.001666666666666668
VAV1,IFNB,0.014507675807503,0.017880244592927648,-0.016710813370872116,-0.03532374511582981,0,0.0
FOXN3,IFNG,3.0503985852983462e-05,0.0033307307592348495,-0.017055482586041483,-0.0782651931038008,1,0.005000000000000014
IRF3,IFNB,-0.013649595742012568,-0.00929097793273795,-0.01744116170812003,-0.0649033682831294,1,-0.049999999999999996
CSF2,TNFA,-0.021464265232235533,-0.013094047301027499,-0.018192704160511036,-0.058597280375037,3,0.001666666666666668
IKBKE,TNFA,0.022053039734411365,0.02377673708185085,-0.018958329404347798,-0.1082939546997086,3,-0.006666666666666664
FOS,TGFB1,0.012643193385270202,0.009323111246629,-0.019365738550667734,-0.0582911507367451,1,-0.0050000000000000044
ZBP1,IFNB,0.011069594116593251,0.013302768042299951,-0.019440303227779964,-0.0467934563939652,1,-0.0050000000000000044
FOXO3,INS,-0.02451660384110645,-0.025298350723858047,-0.019599094436024183,-0.0535843095496132,1,-0.001666666666666668
STAT2,IFNG,-0.0166974179401974,-0.0248823093388123,-0.019685734276685418,-0.0423187531739658,1,0.02833333333333335
JUN,TGFB1,-0.006908091246340065,0.02075616468446185,-0.020314453857539817,-0.0846706057063644,1,-0.009999999999999981
IRF9,IFNG,0.006080896783178199,0.0020928943680144996,-0.020762270254811917,-0.0642751033884129,1,-0.004999999999999995
H1F0,IFNB,0.007120947861356033,0.01659048614211095,-0.021710886750526712,-0.07683608910262549,1,0.0
TTF2,INS,0.0125972978290431,0.0102799948746104,-0.02450561749698855,-0.0683372645909083,2,-0.03500000000000001
UBE2L6,IFNB,-0.01013421347310055,-0.015684562335561602,-0.02704910177647848,-0.0440783337793758,1,0.0
HLA-DQB1,IFNG,-0.026435658641441484,-0.02720040591900165,-0.027281004538177365,-0.0650720574321875,1,0.03499999999999998
UBA7,IFNB,0.0010290738068979496,0.00785518924271205,-0.028118565178440694,-0.08814257351269489,2,-0.00999999999999999
ID1,IFNB,-0.014892009159360115,-0.0079586806199604,-0.031684755041190366,-0.1146974602788238,1,0.08333333333333333
RAD51,INS,-0.02551887441775592,-0.0237384213206429,-0.03999695762342047,-0.0802279530331921,0,0.003333333333333336
