target,pathway,mean_r,median_r,mean_delta_r,min_delta_r,positive_contexts,mean_delta_sign
HSF1,INS,0.07818598686735036,0.06808718429732541,0.036830882769324204,-0.040720532730361504,5,0.006666666666666691
IRF7,TGFB1,0.06292682066844872,0.0499417473830309,0.03515998862920348,0.007508680869632502,6,0.011666666666666678
KIN,IFNG,0.050112527790297096,0.055622832285137494,0.034924438976040445,-0.0446007253939579,4,-0.014999999999999994
IRS4,INS,0.05295638276089692,0.051481842531088604,0.034168793926061314,0.005586729809800302,6,-0.0016666666666666496
SMARCE1,INS,0.07171098927915824,0.07013943143241315,0.034060537794667826,0.0025763830402816996,6,-0.075
CSF1,TNFA,0.028959293761503597,0.0289257303539195,0.03383474827487647,0.013800137086530198,6,-0.02666666666666666
ELK1,IFNB,0.0392209169094041,0.06428461755429715,0.0335342899627678,-0.1328372007872263,5,0.03666666666666666
MAPK9,TNFA,0.035676448835973235,0.03003771045732385,0.03332744406667495,-0.011806485739632198,5,-0.033333333333333354
RAPGEF1,IFNB,0.016449358227686884,0.0243686685327237,0.03205178240695792,-0.0707179867017211,4,-0.04
JUNB,TNFA,0.033713469133130065,0.03017748701745855,0.0319125169821941,-0.030924572922619596,5,0.011666666666666678
EIF2B1,INS,0.07045664784207291,0.0636964375132704,0.0314221405167092,0.013649665128219,6,0.011666666666666659
SP100,IFNG,0.052544151065435835,0.0361884223472122,0.03134753582905623,-0.023354301497427402,5,0.0
MTOR,INS,0.06108618518946243,0.05193694938898915,0.03134021718850902,0.014624166331062803,6,-0.07500000000000001
SMARCA5,IFNB,0.0414784602818936,0.046201825400747354,0.030345995677831583,-0.0839914902657939,5,-0.006666666666666672
MYC,TGFB1,0.03118762758839035,0.024940719136789448,0.0301942712237923,0.011101693092787298,6,-0.008333333333333323
TAPBPL,IFNG,0.0321979203011342,0.031519656548661346,0.029513308080885082,0.004389372523138202,6,0.004999999999999986
CRKL,IFNB,0.026809121233768583,0.02624169879201005,0.02895688504299583,-0.0392515679212175,5,-0.09333333333333332
MAPK3,TGFB1,0.0354174649152066,0.03478554296760045,0.028280771107695,-0.0018464269078476009,5,-0.011666666666666659
ITCH,TNFA,0.03713610773920623,0.03057928327006125,0.02807114909749041,-0.025319255407591203,5,-0.011666666666666695
ATF3,IFNG,0.03858797602460839,0.03786569755027315,0.027340939831000766,0.0019949304391207005,6,-0.056666666666666664
ZNF593,INS,0.03192038909821638,0.0292264022911189,0.02713828191947847,-0.06322269978049169,5,0.0
TRAFD1,IFNG,0.05174396384886232,0.06047022623281739,0.02708401086870432,-0.0050276391295821996,5,0.01833333333333335
RPS6KB1,INS,0.04825719848989938,0.048623462042780105,0.026559240904720782,-0.0054298714755671995,4,0.0050000000000000044
BATF,TNFA,0.02369371887132468,0.0253394264307031,0.024932792807238032,-0.029637569751194304,4,-0.0016666666666666403
NKX3-1,TNFA,0.03427702745077305,0.035443866636045804,0.02469173338676843,-0.024940434388771603,5,-0.003333333333333336
TRAF1,TNFA,0.03938899664727785,0.044082243510771904,0.023367836789251833,-0.01375247423376641,5,-0.015000000000000005
HRAS,TGFB1,0.05099826280210184,0.05512544511018795,0.022719337749253388,-0.0037207060745893944,5,0.006666666666666672
TRIM22,IFNB,0.03445264784502913,0.032235754824020454,0.02252030362758932,-0.0220700948904336,5,0.0050000000000000044
MAP3K14,IFNB,0.03502233151764325,0.0311728380111584,0.02209468460204007,-0.0546413920814561,5,-0.003333333333333318
SMAD1,TGFB1,0.04915599592022448,0.05412755162310395,0.0218286725072612,-0.007012016741254699,5,0.021666666666666685
JUN,IFNG,0.044876593182674805,0.0422661736584045,0.021376280335202117,-0.013744315770685897,4,0.01999999999999998
GRB2,INS,-0.008589049822470501,-0.0009527739330760499,0.021187234872751787,-0.053406299785556395,5,-0.013333333333333345
TGFBR3,TGFB1,0.0556328804027711,0.062090789064015994,0.02100124528678815,-0.015892872697981703,5,-0.023333333333333317
GRB10,INS,0.0222186623415954,0.015878320663687148,0.020992254329971514,-0.01698280510057,4,0.0
NRAS,TGFB1,0.042305953359664895,0.04492180135896285,0.020398833066320097,-0.011888365195015599,5,0.001666666666666668
RAF1,TGFB1,0.026627876442311585,0.0241213383904473,0.02022591245350085,0.003321915084482898,6,0.016666666666666646
ETS1,IFNB,0.05772032578908204,0.0688169952515386,0.020048626286921684,-0.0463099418282635,5,0.001666666666666668
IRS1,INS,0.052247202032834596,0.05999676261292215,0.01934925325092673,-0.05667477266848921,4,-0.001666666666666668
PIK3CA,TGFB1,0.023391172063531817,0.02625755538172575,0.019325463160744884,-0.0035657045423464,5,-0.04833333333333333
SMAD7,TGFB1,0.04723486296720317,0.043429395155338946,0.019202705089994433,-0.0006391517528970964,5,0.006666666666666672
ZNF267,TNFA,0.05014987725238109,0.04545991679495475,0.019098055757341147,-0.005374896949276602,5,-0.003333333333333336
DNM1L,TNFA,0.01902302005239375,0.0214081405561911,0.018570930765917166,-0.0263732384299563,4,-0.07333333333333335
BRD9,IFNB,0.015340566121963032,0.015455125150128899,0.018542871501486684,0.0005001181155334005,6,-0.001666666666666668
ETS2,IFNB,0.05461444040410316,0.07160882070720395,0.018300268187094168,-0.012976347251348795,5,0.0
SMURF2,TGFB1,0.0364904449025391,0.029114493464127797,0.01829302970366805,-0.0259185298291143,5,0.006666666666666672
RBX1,TGFB1,0.017207821247049667,0.0198939233578957,0.018286693174179185,-0.003973769291172699,5,0.00333333333333329
PARP12,IFNB,0.04031992363143661,0.0440505781547474,0.018220016798206933,-0.0029247814724209995,5,0.010000000000000009
SP110,IFNB,0.02013391392531622,0.0173962821482159,0.018143888086450316,-0.0039785065363813,4,0.004999999999999986
SRC,IFNG,0.04167035973611197,0.04121197620578505,0.018009591113366547,-0.023179660740999003,3,0.013333333333333336
SGK1,INS,0.02553232056670922,0.018988086234990098,0.0176986810422074,-0.029720686149016802,4,0.0
HDAC4,TGFB1,0.02963538898483692,0.02060924288668075,0.017682799776668267,-0.011019077695571602,4,-0.020000000000000007
RPS6KB1,TGFB1,0.03561724147253018,0.0402929127692262,0.017352774956379033,-0.0016662439989310997,4,0.03833333333333334
NFKB1,TGFB1,0.021388162667084817,0.025091476178407,0.01648744341133123,-0.0136909261904117,5,0.04333333333333334
IKBKG,TNFA,0.028844149410141837,0.042376874843966,0.015575005359985452,-0.0021706684037077,5,-0.03499999999999998
PIK3CA,IFNG,0.0458940946528669,0.046441072642386755,0.015570239744709584,0.0033807317603489987,6,-0.033333333333333354
NFKB1,IFNG,0.0226851913661934,0.018980059951153802,0.015270325777936349,-0.0235511570148746,4,0.016666666666666705
BIRC2,TNFA,0.017515793137725534,0.017343173662059,0.01496472079225305,-0.020846361365173302,5,-0.013333333333333336
MMP9,TNFA,-0.00013763073505294963,0.00322557761867945,0.014750455325147483,-0.005108204594699699,4,0.003333333333333336
PAK1,TGFB1,0.05140171300203777,0.0496741457301335,0.014172469554181099,0.0027871285865539996,6,-0.003333333333333336
MAPK8,TNFA,0.020475527437968214,0.0163382483722943,0.013908407482502232,-0.016844458636556,5,-0.003333333333333336
CHUK,TGFB1,0.023702404200210317,0.01526715826692425,0.013649691082975368,-0.0216422234767407,4,0.021666666666666685
ZNF267,IFNG,0.020816355987985032,0.0216250088191194,0.013342522981988084,-0.023337392813086597,4,0.0033333333333333457
