#Archive/File	Name	Time	Size	Type
File	GSM8225059_jurkat_40_matrix.mtx.gz	04/19/2024 17:50:03	158008218	MTX
File	GSM8225060_jurkat_41_barcodes.tsv.gz	04/19/2024 17:50:03	53626	TSV
File	GSM8225060_jurkat_41_features.tsv.gz	04/19/2024 17:50:03	406895	TSV
File	GSM8225060_jurkat_41_matrix.mtx.gz	04/19/2024 17:50:09	142376887	MTX
File	GSM8225061_jurkat_42_barcodes.tsv.gz	04/19/2024 17:50:09	39939	TSV
File	GSM8225061_jurkat_42_features.tsv.gz	04/19/2024 17:50:09	406895	TSV
File	GSM8225061_jurkat_42_matrix.mtx.gz	04/19/2024 17:50:13	106909071	MTX
File	GSM8225062_jurkat_43_barcodes.tsv.gz	04/19/2024 17:50:13	49268	TSV
File	GSM8225062_jurkat_43_features.tsv.gz	04/19/2024 17:50:13	406895	TSV
File	GSM8225062_jurkat_43_matrix.mtx.gz	04/19/2024 17:50:18	121716805	MTX
File	GSM8225063_jurkat_44_barcodes.tsv.gz	04/19/2024 17:50:18	58195	TSV
File	GSM8225063_jurkat_44_features.tsv.gz	04/19/2024 17:50:18	406895	TSV
File	GSM8225063_jurkat_44_matrix.mtx.gz	04/19/2024 17:50:25	166872790	MTX
File	GSM8225064_jurkat_45_barcodes.tsv.gz	04/19/2024 17:50:25	60469	TSV
File	GSM8225064_jurkat_45_features.tsv.gz	04/19/2024 17:50:25	406895	TSV
File	GSM8225064_jurkat_45_matrix.mtx.gz	04/19/2024 17:50:31	154103888	MTX
File	GSM8225065_jurkat_46_barcodes.tsv.gz	04/19/2024 17:50:31	58119	TSV
File	GSM8225065_jurkat_46_features.tsv.gz	04/19/2024 17:50:31	406895	TSV
File	GSM8225065_jurkat_46_matrix.mtx.gz	04/19/2024 17:50:38	201020547	MTX
File	GSM8225066_jurkat_47_barcodes.tsv.gz	04/19/2024 17:50:38	83379	TSV
File	GSM8225066_jurkat_47_features.tsv.gz	04/19/2024 17:50:38	406895	TSV
File	GSM8225066_jurkat_47_matrix.mtx.gz	04/19/2024 17:50:39	1071075	MTX
File	GSM8225067_jurkat_48_barcodes.tsv.gz	04/19/2024 17:50:39	59047	TSV
File	GSM8225067_jurkat_48_features.tsv.gz	04/19/2024 17:50:39	406895	TSV
File	GSM8225067_jurkat_48_matrix.mtx.gz	04/19/2024 17:50:44	153054505	MTX
File	GSM8225068_jurkat_49_barcodes.tsv.gz	04/19/2024 17:50:44	55444	TSV
File	GSM8225068_jurkat_49_features.tsv.gz	04/19/2024 17:50:45	406895	TSV
File	GSM8225068_jurkat_49_matrix.mtx.gz	04/19/2024 17:50:49	118365578	MTX
File	GSM8225069_jurkat_50_barcodes.tsv.gz	04/19/2024 17:50:57	52392	TSV
File	GSM8225069_jurkat_50_features.tsv.gz	04/19/2024 17:50:57	406895	TSV
File	GSM8225069_jurkat_50_matrix.mtx.gz	04/19/2024 17:51:02	127466457	MTX
File	GSM8225070_jurkat_51_barcodes.tsv.gz	04/19/2024 17:51:03	54581	TSV
File	GSM8225070_jurkat_51_features.tsv.gz	04/19/2024 17:51:03	406895	TSV
File	GSM8225070_jurkat_51_matrix.mtx.gz	04/19/2024 17:51:08	130251639	MTX
File	GSM8225071_jurkat_52_barcodes.tsv.gz	04/19/2024 17:51:08	63333	TSV
File	GSM8225071_jurkat_52_features.tsv.gz	04/19/2024 17:51:08	406895	TSV
File	GSM8225071_jurkat_52_matrix.mtx.gz	04/19/2024 17:51:14	151719769	MTX
File	GSM8225072_jurkat_53_barcodes.tsv.gz	04/19/2024 17:51:14	55636	TSV
File	GSM8225072_jurkat_53_features.tsv.gz	04/19/2024 17:51:14	406895	TSV
File	GSM8225072_jurkat_53_matrix.mtx.gz	04/19/2024 17:51:19	124857972	MTX
File	GSM8225073_jurkat_54_barcodes.tsv.gz	04/19/2024 17:51:19	58573	TSV
File	GSM8225073_jurkat_54_features.tsv.gz	04/19/2024 17:51:19	406895	TSV
File	GSM8225073_jurkat_54_matrix.mtx.gz	04/19/2024 17:51:25	146654716	MTX
File	GSM8225074_jurkat_55_barcodes.tsv.gz	04/19/2024 17:51:25	105583	TSV
File	GSM8225074_jurkat_55_features.tsv.gz	04/19/2024 17:51:25	406895	TSV
File	GSM8225074_jurkat_55_matrix.mtx.gz	04/19/2024 17:51:31	157634373	MTX
File	GSM8225075_jurkat_56_barcodes.tsv.gz	04/19/2024 17:51:31	57837	TSV
File	GSM8225075_jurkat_56_features.tsv.gz	04/19/2024 17:51:31	406895	TSV
File	GSM8225075_jurkat_56_matrix.mtx.gz	04/19/2024 17:51:37	173030205	MTX
File	GSM8225076_hepg2_1_barcodes.tsv.gz	04/19/2024 17:39:07	47991	TSV
File	GSM8225076_hepg2_1_features.tsv.gz	04/19/2024 17:39:07	406895	TSV
File	GSM8225076_hepg2_1_matrix.mtx.gz	04/19/2024 17:39:11	121422373	MTX
File	GSM8225077_hepg2_2_barcodes.tsv.gz	04/19/2024 17:40:11	41749	TSV
File	GSM8225077_hepg2_2_features.tsv.gz	04/19/2024 17:40:11	406895	TSV
File	GSM8225077_hepg2_2_matrix.mtx.gz	04/19/2024 17:40:15	116490014	MTX
File	GSM8225078_hepg2_3_barcodes.tsv.gz	04/19/2024 17:41:07	45669	TSV
File	GSM8225078_hepg2_3_features.tsv.gz	04/19/2024 17:41:07	406895	TSV
File	GSM8225078_hepg2_3_matrix.mtx.gz	04/19/2024 17:41:11	126832920	MTX
File	GSM8225079_hepg2_4_barcodes.tsv.gz	04/19/2024 17:42:10	51312	TSV
File	GSM8225079_hepg2_4_features.tsv.gz	04/19/2024 17:42:11	406895	TSV
File	GSM8225079_hepg2_4_matrix.mtx.gz	04/19/2024 17:42:16	133870647	MTX
File	GSM8225080_hepg2_5_barcodes.tsv.gz	04/19/2024 17:42:47	50700	TSV
File	GSM8225080_hepg2_5_features.tsv.gz	04/19/2024 17:42:47	406895	TSV
File	GSM8225080_hepg2_5_matrix.mtx.gz	04/19/2024 17:42:52	138411845	MTX
File	GSM8225081_hepg2_6_barcodes.tsv.gz	04/19/2024 17:42:52	47168	TSV
File	GSM8225081_hepg2_6_features.tsv.gz	04/19/2024 17:42:52	406895	TSV
File	GSM8225081_hepg2_6_matrix.mtx.gz	04/19/2024 17:42:57	127547781	MTX
File	GSM8225082_hepg2_7_barcodes.tsv.gz	04/19/2024 17:42:57	43434	TSV
File	GSM8225082_hepg2_7_features.tsv.gz	04/19/2024 17:42:57	406895	TSV
File	GSM8225082_hepg2_7_matrix.mtx.gz	04/19/2024 17:43:01	117790516	MTX
File	GSM8225083_hepg2_8_barcodes.tsv.gz	04/19/2024 17:43:01	54827	TSV
File	GSM8225083_hepg2_8_features.tsv.gz	04/19/2024 17:43:02	406895	TSV
File	GSM8225083_hepg2_8_matrix.mtx.gz	04/19/2024 17:43:11	228949156	MTX
File	GSM8225084_hepg2_9_barcodes.tsv.gz	04/19/2024 17:43:11	110066	TSV
File	GSM8225084_hepg2_9_features.tsv.gz	04/19/2024 17:43:11	406895	TSV
File	GSM8225084_hepg2_9_matrix.mtx.gz	04/19/2024 17:43:17	175018285	MTX
File	GSM8225085_hepg2_10_barcodes.tsv.gz	04/19/2024 17:38:18	44662	TSV
File	GSM8225085_hepg2_10_features.tsv.gz	04/19/2024 17:38:19	406895	TSV
File	GSM8225085_hepg2_10_matrix.mtx.gz	04/19/2024 17:38:24	111065228	MTX
File	GSM8225086_hepg2_11_barcodes.tsv.gz	04/19/2024 17:38:24	46642	TSV
File	GSM8225086_hepg2_11_features.tsv.gz	04/19/2024 17:38:24	406895	TSV
File	GSM8225086_hepg2_11_matrix.mtx.gz	04/19/2024 17:38:29	126746952	MTX
File	GSM8225087_hepg2_12_barcodes.tsv.gz	04/19/2024 17:38:29	54918	TSV
File	GSM8225087_hepg2_12_features.tsv.gz	04/19/2024 17:38:29	406895	TSV
File	GSM8225087_hepg2_12_matrix.mtx.gz	04/19/2024 17:38:34	145215713	MTX
File	GSM8225088_hepg2_13_barcodes.tsv.gz	04/19/2024 17:38:34	47291	TSV
File	GSM8225088_hepg2_13_features.tsv.gz	04/19/2024 17:38:35	406895	TSV
File	GSM8225088_hepg2_13_matrix.mtx.gz	04/19/2024 17:38:39	121345224	MTX
File	GSM8225089_hepg2_14_barcodes.tsv.gz	04/19/2024 17:38:39	49299	TSV
File	GSM8225089_hepg2_14_features.tsv.gz	04/19/2024 17:38:39	406895	TSV
File	GSM8225089_hepg2_14_matrix.mtx.gz	04/19/2024 17:38:44	135319307	MTX
File	GSM8225090_hepg2_15_barcodes.tsv.gz	04/19/2024 17:38:44	45929	TSV
File	GSM8225090_hepg2_15_features.tsv.gz	04/19/2024 17:38:44	406895	TSV
File	GSM8225090_hepg2_15_matrix.mtx.gz	04/19/2024 17:38:49	122604699	MTX
File	GSM8225091_hepg2_16_barcodes.tsv.gz	04/19/2024 17:38:49	55403	TSV
File	GSM8225091_hepg2_16_features.tsv.gz	04/19/2024 17:38:49	406895	TSV
File	GSM8225091_hepg2_16_matrix.mtx.gz	04/19/2024 17:38:53	131080510	MTX
File	GSM8225092_hepg2_17_barcodes.tsv.gz	04/19/2024 17:38:54	42978	TSV
File	GSM8225092_hepg2_17_features.tsv.gz	04/19/2024 17:38:54	406895	TSV
File	GSM8225092_hepg2_17_matrix.mtx.gz	04/19/2024 17:38:58	123797977	MTX
File	GSM8225093_hepg2_18_barcodes.tsv.gz	04/19/2024 17:38:58	38289	TSV
File	GSM8225093_hepg2_18_features.tsv.gz	04/19/2024 17:38:59	406895	TSV
File	GSM8225093_hepg2_18_matrix.mtx.gz	04/19/2024 17:39:02	104701157	MTX
File	GSM8225094_hepg2_19_barcodes.tsv.gz	04/19/2024 17:39:03	38668	TSV
File	GSM8225094_hepg2_19_features.tsv.gz	04/19/2024 17:39:03	406895	TSV
File	GSM8225094_hepg2_19_matrix.mtx.gz	04/19/2024 17:39:06	105271368	MTX
File	GSM8225095_hepg2_20_barcodes.tsv.gz	04/19/2024 17:39:11	52729	TSV
File	GSM8225095_hepg2_20_features.tsv.gz	04/19/2024 17:39:12	406895	TSV
File	GSM8225095_hepg2_20_matrix.mtx.gz	04/19/2024 17:39:16	129536921	MTX
File	GSM8225096_hepg2_21_barcodes.tsv.gz	04/19/2024 17:39:16	45607	TSV
File	GSM8225096_hepg2_21_features.tsv.gz	04/19/2024 17:39:17	406895	TSV
File	GSM8225096_hepg2_21_matrix.mtx.gz	04/19/2024 17:39:21	124902405	MTX
File	GSM8225097_hepg2_22_barcodes.tsv.gz	04/19/2024 17:39:21	53655	TSV
File	GSM8225097_hepg2_22_features.tsv.gz	04/19/2024 17:39:22	406895	TSV
File	GSM8225097_hepg2_22_matrix.mtx.gz	04/19/2024 17:39:29	197268870	MTX
File	GSM8225098_hepg2_23_barcodes.tsv.gz	04/19/2024 17:39:29	41257	TSV
File	GSM8225098_hepg2_23_features.tsv.gz	04/19/2024 17:39:29	406895	TSV
File	GSM8225098_hepg2_23_matrix.mtx.gz	04/19/2024 17:39:33	111906638	MTX
File	GSM8225099_hepg2_24_barcodes.tsv.gz	04/19/2024 17:39:34	48085	TSV
File	GSM8225099_hepg2_24_features.tsv.gz	04/19/2024 17:39:34	406895	TSV
File	GSM8225099_hepg2_24_matrix.mtx.gz	04/19/2024 17:39:38	101261210	MTX
File	GSM8225100_hepg2_25_barcodes.tsv.gz	04/19/2024 17:39:38	43857	TSV
File	GSM8225100_hepg2_25_features.tsv.gz	04/19/2024 17:39:38	406895	TSV
File	GSM8225100_hepg2_25_matrix.mtx.gz	04/19/2024 17:39:44	146680461	MTX
File	GSM8225101_hepg2_26_barcodes.tsv.gz	04/19/2024 17:39:44	57450	TSV
File	GSM8225101_hepg2_26_features.tsv.gz	04/19/2024 17:39:44	406895	TSV
File	GSM8225101_hepg2_26_matrix.mtx.gz	04/19/2024 17:39:49	129136817	MTX
File	GSM8225102_hepg2_27_barcodes.tsv.gz	04/19/2024 17:39:49	46178	TSV
File	GSM8225102_hepg2_27_features.tsv.gz	04/19/2024 17:39:49	406895	TSV
File	GSM8225102_hepg2_27_matrix.mtx.gz	04/19/2024 17:39:53	117719673	MTX
File	GSM8225103_hepg2_28_barcodes.tsv.gz	04/19/2024 17:39:54	54086	TSV
File	GSM8225103_hepg2_28_features.tsv.gz	04/19/2024 17:39:54	406895	TSV
File	GSM8225103_hepg2_28_matrix.mtx.gz	04/19/2024 17:39:59	134092137	MTX
File	GSM8225104_hepg2_29_barcodes.tsv.gz	04/19/2024 17:39:59	173719	TSV
File	GSM8225104_hepg2_29_features.tsv.gz	04/19/2024 17:39:59	406895	TSV
File	GSM8225104_hepg2_29_matrix.mtx.gz	04/19/2024 17:40:11	334617566	MTX
File	GSM8225105_hepg2_30_barcodes.tsv.gz	04/19/2024 17:40:15	47931	TSV
File	GSM8225105_hepg2_30_features.tsv.gz	04/19/2024 17:40:15	406895	TSV
File	GSM8225105_hepg2_30_matrix.mtx.gz	04/19/2024 17:40:20	124836912	MTX
File	GSM8225106_hepg2_31_barcodes.tsv.gz	04/19/2024 17:40:20	42569	TSV
File	GSM8225106_hepg2_31_features.tsv.gz	04/19/2024 17:40:20	406895	TSV
File	GSM8225106_hepg2_31_matrix.mtx.gz	04/19/2024 17:40:25	115391697	MTX
File	GSM8225107_hepg2_32_barcodes.tsv.gz	04/19/2024 17:40:25	50154	TSV
File	GSM8225107_hepg2_32_features.tsv.gz	04/19/2024 17:40:25	406895	TSV
File	GSM8225107_hepg2_32_matrix.mtx.gz	04/19/2024 17:40:29	100825499	MTX
File	GSM8225108_hepg2_33_barcodes.tsv.gz	04/19/2024 17:40:29	41600	TSV
File	GSM8225108_hepg2_33_features.tsv.gz	04/19/2024 17:40:29	406895	TSV
File	GSM8225108_hepg2_33_matrix.mtx.gz	04/19/2024 17:40:33	112071897	MTX
File	GSM8225109_hepg2_34_barcodes.tsv.gz	04/19/2024 17:40:33	39845	TSV
File	GSM8225109_hepg2_34_features.tsv.gz	04/19/2024 17:40:33	406895	TSV
File	GSM8225109_hepg2_34_matrix.mtx.gz	04/19/2024 17:40:38	114878603	MTX
File	GSM8225110_hepg2_35_barcodes.tsv.gz	04/19/2024 17:40:38	40329	TSV
File	GSM8225110_hepg2_35_features.tsv.gz	04/19/2024 17:40:38	406895	TSV
File	GSM8225110_hepg2_35_matrix.mtx.gz	04/19/2024 17:40:44	149794525	MTX
File	GSM8225111_hepg2_36_barcodes.tsv.gz	04/19/2024 17:40:44	49813	TSV
File	GSM8225111_hepg2_36_features.tsv.gz	04/19/2024 17:40:45	406895	TSV
File	GSM8225111_hepg2_36_matrix.mtx.gz	04/19/2024 17:40:49	135559481	MTX
File	GSM8225112_hepg2_37_barcodes.tsv.gz	04/19/2024 17:40:50	44485	TSV
File	GSM8225112_hepg2_37_features.tsv.gz	04/19/2024 17:40:50	406895	TSV
File	GSM8225112_hepg2_37_matrix.mtx.gz	04/19/2024 17:40:54	124683000	MTX
File	GSM8225113_hepg2_38_barcodes.tsv.gz	04/19/2024 17:40:54	42523	TSV
File	GSM8225113_hepg2_38_features.tsv.gz	04/19/2024 17:40:55	406895	TSV
File	GSM8225113_hepg2_38_matrix.mtx.gz	04/19/2024 17:41:01	149018600	MTX
File	GSM8225114_hepg2_39_barcodes.tsv.gz	04/19/2024 17:41:01	40386	TSV
File	GSM8225114_hepg2_39_features.tsv.gz	04/19/2024 17:41:01	406895	TSV
File	GSM8225114_hepg2_39_matrix.mtx.gz	04/19/2024 17:41:07	166251041	MTX
File	GSM8225115_hepg2_40_barcodes.tsv.gz	04/19/2024 17:41:12	46789	TSV
File	GSM8225115_hepg2_40_features.tsv.gz	04/19/2024 17:41:12	406895	TSV
File	GSM8225115_hepg2_40_matrix.mtx.gz	04/19/2024 17:41:17	130415504	MTX
File	GSM8225116_hepg2_41_barcodes.tsv.gz	04/19/2024 17:41:17	41065	TSV
File	GSM8225116_hepg2_41_features.tsv.gz	04/19/2024 17:41:17	406895	TSV
File	GSM8225116_hepg2_41_matrix.mtx.gz	04/19/2024 17:41:23	165550171	MTX
File	GSM8225117_hepg2_42_barcodes.tsv.gz	04/19/2024 17:41:23	166078	TSV
File	GSM8225117_hepg2_42_features.tsv.gz	04/19/2024 17:41:23	406895	TSV
File	GSM8225117_hepg2_42_matrix.mtx.gz	04/19/2024 17:41:32	259586505	MTX
File	GSM8225118_hepg2_43_barcodes.tsv.gz	04/19/2024 17:41:32	42808	TSV
