held_out,shape,target,pds_gen_base,pds_gen_cis,has_neighbour_5kb
k562,t16,PNP,0.6806584362139918,0.6654320987654322,True
k562,t16,POLD4,0.5049382716049382,0.5049382716049382,False
k562,t16,POR,0.8666666666666667,0.8666666666666667,False
k562,t16,PPIF,0.6658436213991771,0.6658436213991771,False
k562,t16,PPIP5K2,0.3189300411522635,0.3189300411522635,True
k562,t16,PQBP1,1.0,1.0,False
k562,t16,PRDX3,0.8954732510288065,0.8954732510288065,False
k562,t16,PRKAB2,0.47078189300411527,0.47078189300411527,False
k562,t16,PRKACA,0.357201646090535,0.357201646090535,False
k562,t16,PRMT2,0.8633744855967078,0.8633744855967078,False
k562,t16,PRMT6,0.9333333333333333,0.9333333333333333,False
k562,t16,PRMT7,0.9687242798353909,0.9728395061728397,True
k562,t16,PRNP,0.965843621399177,0.965843621399177,False
k562,t16,PSKH1,0.5522633744855967,0.5522633744855967,False
k562,t16,PTMS,0.8707818930041152,0.8753086419753088,True
k562,t16,PTOV1,0.5316872427983539,0.5316872427983539,False
k562,t16,PYCR1,0.1646090534979424,0.1646090534979424,True
k562,t16,R3HCC1L,1.0,1.0,False
k562,t16,RAB5A,0.9222222222222223,0.9222222222222223,True
k562,t16,RABEP2,0.7296296296296296,0.7296296296296296,True
k562,t16,RBM18,1.0,1.0,True
k562,t16,RBM26,1.0,1.0,False
k562,t16,RBM4B,0.8637860082304527,0.8637860082304527,False
k562,t16,RBM5,0.9991769547325104,0.9991769547325104,False
k562,t16,RC3H2,0.8670781893004114,0.8670781893004114,False
k562,t16,REV1,0.21646090534979423,0.21646090534979423,False
k562,t16,RFK,0.8720164609053498,0.8720164609053498,False
k562,t16,RNF10,0.9901234567901235,0.9901234567901235,True
k562,t16,RNF141,0.11687242798353908,0.11687242798353908,False
k562,t16,RNF2,0.9576131687242798,0.9576131687242798,False
k562,t16,RSRC1,0.9794238683127572,0.9794238683127572,True
k562,t16,S100A11,0.7090534979423867,0.7090534979423867,False
k562,t16,SAP30L,0.23456790123456792,0.23456790123456792,False
k562,t16,SCAF8,1.0,1.0,False
k562,t16,SFXN4,0.2563786008230452,0.2563786008230452,False
k562,t16,SH2D3A,0.1259259259259259,0.12510288065843625,True
k562,t16,SHPRH,0.8695473251028808,0.8695473251028808,False
k562,t16,SIN3B,1.0,1.0,False
k562,t16,SLC25A13,0.5353909465020575,0.5353909465020575,False
k562,t16,SLC39A1,0.4213991769547325,0.4213991769547325,True
k562,t16,SLIRP,0.9748971193415638,0.9748971193415638,True
k562,t16,SMARCA5,1.0,1.0,False
k562,t16,SMARCC2,0.10041152263374485,0.10041152263374485,False
k562,t16,SMYD2,0.8102880658436215,0.8102880658436215,False
k562,t16,SND1,0.9921810699588478,0.9921810699588478,False
k562,t16,SNRK,0.7403292181069958,0.7403292181069958,False
k562,t16,SNX4,0.251440329218107,0.251440329218107,False
k562,t16,SRSF5,0.9526748971193416,0.9526748971193416,False
k562,t16,SSR4,0.6477366255144033,0.7300411522633744,True
k562,t16,STAT6,0.4222222222222223,0.4218106995884774,True
k562,t16,STK3,0.8609053497942387,0.8609053497942387,True
k562,t16,STT3A,0.6530864197530865,0.6539094650205761,True
k562,t16,SUPT7L,0.9938271604938271,0.9942386831275721,True
k562,t16,SYVN1,1.0,1.0,False
k562,t16,TAF15,0.6164609053497943,0.6164609053497943,False
k562,t16,TARBP2,0.6983539094650205,0.6983539094650205,True
k562,t16,TBC1D13,0.6732510288065845,0.6732510288065845,False
k562,t16,TBCK,0.991769547325103,0.9995884773662552,True
k562,t16,TEAD4,0.9082304526748971,0.9082304526748971,False
k562,t16,TEX2,0.9526748971193416,0.9526748971193416,False
k562,t16,TFCP2,0.6872427983539096,0.6872427983539096,False
k562,t16,THAP3,0.8176954732510286,0.8176954732510286,False
k562,t16,THAP7,0.9777777777777779,0.9777777777777779,False
k562,t16,TIMM17B,0.9962962962962963,0.9962962962962963,False
k562,t16,TIMM50,0.2876543209876543,0.2876543209876543,False
k562,t16,TMCO6,0.8617283950617282,0.8617283950617282,False
k562,t16,TMED3,0.5065843621399178,0.5065843621399178,False
k562,t16,TMEM147,0.9493827160493827,0.9493827160493827,False
k562,t16,TMEM186,0.6279835390946502,0.6279835390946502,False
k562,t16,TMEM209,0.8633744855967077,0.8633744855967077,True
k562,t16,TMEM41B,0.4699588477366255,0.4699588477366255,False
k562,t16,TMF1,0.16296296296296298,0.16296296296296298,False
k562,t16,TRAPPC6A,0.786008230452675,0.786008230452675,False
k562,t16,TRIB3,0.9979423868312757,0.9979423868312757,False
k562,t16,TRIM35,0.18477366255144034,0.18559670781893006,True
k562,t16,TRIP4,0.5543209876543211,0.805761316872428,True
k562,t16,TRMT1,0.36707818930041153,0.41646090534979424,True
k562,t16,TRPC4AP,0.8510288065843622,0.8510288065843622,False
k562,t16,TWF2,0.9683127572016461,0.9683127572016461,True
k562,t16,UNK,0.239917695473251,0.24938271604938272,True
k562,t16,UPF3B,1.0,1.0,False
k562,t16,UROS,0.528395061728395,0.6728395061728395,True
k562,t16,USP28,0.4679012345679012,0.4679012345679012,False
k562,t16,VAPB,0.6580246913580248,0.6580246913580248,False
k562,t16,VIM,0.8864197530864198,0.8864197530864198,False
k562,t16,WBP4,0.9983539094650205,0.9987654320987654,True
k562,t16,YIPF6,0.4024691358024692,0.4024691358024692,False
k562,t16,ZBTB34,0.3156378600823045,0.3156378600823045,False
k562,t16,ZBTB41,0.2641975308641975,0.2641975308641975,False
k562,t16,ZBTB48,0.8806584362139918,0.8806584362139918,False
k562,t16,ZC3HAV1,0.8419753086419752,0.8419753086419752,True
k562,t16,ZDHHC12,0.9473251028806585,0.9473251028806585,False
k562,t16,ZDHHC4,0.9246913580246913,0.9246913580246913,False
k562,t16,ZFP62,0.91440329218107,0.91440329218107,False
k562,t16,ZHX3,0.9427983539094651,0.9427983539094651,False
k562,t16,ZKSCAN1,0.9415637860082303,0.9415637860082303,False
k562,t16,ZKSCAN2,0.8403292181069959,0.8403292181069959,False
k562,t16,ZKSCAN3,0.5448559670781893,0.5448559670781893,False
k562,t16,ZNF16,0.4872427983539096,0.4872427983539096,False
k562,t16,ZNF174,0.597119341563786,0.597119341563786,True
k562,t16,ZNF219,0.4979423868312757,0.4979423868312757,False
k562,t16,ZNF22,0.9534979423868314,0.9534979423868314,False
k562,t16,ZNF25,0.2897119341563785,0.2897119341563785,False
k562,t16,ZNF251,0.559670781893004,0.559670781893004,False
k562,t16,ZNF280C,0.5695473251028808,0.5695473251028808,False
k562,t16,ZNF282,0.49876543209876545,0.49876543209876545,False
k562,t16,ZNF32,0.35102880658436214,0.35102880658436214,False
k562,t16,ZNF324,0.29753086419753083,0.29753086419753083,False
k562,t16,ZNF397,0.9008230452674897,0.9008230452674897,False
k562,t16,ZNF410,0.5917695473251029,0.5917695473251029,False
k562,t16,ZNF444,0.9032921810699589,0.9032921810699589,False
k562,t16,ZNF462,0.990946502057613,0.990946502057613,False
k562,t16,ZNF496,0.620164609053498,0.620164609053498,True
k562,t16,ZNF507,1.0,1.0,False
k562,t16,ZNF514,0.986008230452675,0.986008230452675,True
k562,t16,ZNF526,0.8382716049382716,0.8353909465020576,True
k562,t16,ZNF530,0.4320987654320988,0.4320987654320988,False
k562,t16,ZNF543,0.8366255144032921,0.8366255144032921,False
k562,t16,ZNF627,0.7102880658436215,0.6868312757201646,True
k562,t16,ZNF628,0.8979423868312758,0.8979423868312758,False
k562,t16,ZNF641,0.7049382716049383,0.7049382716049383,False
k562,t16,ZNF670,0.2362139917695473,0.2362139917695473,False
k562,t16,ZNF714,0.9518518518518518,0.9518518518518518,False
k562,t16,ZNF740,0.9761316872427983,0.9761316872427983,True
k562,t16,ZNF768,0.43827160493827155,0.43827160493827155,False
k562,t16,ZNF777,0.8925925925925928,0.8925925925925928,False
k562,t16,ZNF783,0.4016460905349795,0.4016460905349795,False
k562,t16,ZNF784,0.6333333333333333,0.6127572016460905,True
k562,t16,ZNF786,0.21604938271604937,0.21604938271604937,False
k562,t16,ZNF821,0.4148148148148148,0.4148148148148148,False
k562,t16,ZRANB3,0.6954732510288067,0.7629629629629631,True
k562,t19,ACLY,0.9958847736625513,0.9958847736625513,True
k562,t19,ADNP,0.9917695473251028,0.9917695473251028,False
k562,t19,AGO1,0.6337448559670782,0.6337448559670782,False
k562,t19,AKAP1,0.8683127572016462,0.8683127572016462,False
k562,t19,AKIRIN1,0.8580246913580247,0.8580246913580247,False
k562,t19,AKT2,0.8720164609053498,0.8720164609053498,False
k562,t19,ALG12,0.77119341563786,0.7967078189300412,True
k562,t19,ANKRD52,0.8695473251028806,0.8695473251028806,False
k562,t19,ANKZF1,0.9300411522633745,0.9485596707818931,True
k562,t19,ANP32B,0.9893004115226337,0.9893004115226337,False
k562,t19,AP2A2,0.8436213991769548,0.8436213991769548,False
k562,t19,API5,0.9958847736625513,0.9958847736625513,False
k562,t19,ARL14EP,0.9958847736625516,0.9958847736625516,False
k562,t19,ASCC2,0.7345679012345678,0.7345679012345678,False
