regime,held_out,arm,targets,pds_proxy,pds_minus_common,ci95,reach_proxy,prec_200,mse_ratio
J,cd4_mix,string400,268,0.543336687349768,0.04333668734976802,"[0.013149840684219354, 0.0729655794063391]",0.005339876051953165,0.5164925373134329,1.066387602874325
J,cd4_mix,transfer_ceiling,268,0.7111073844261838,0.21110738442618368,"[0.1606332802280731, 0.26258594667113866]",0.005807562201655156,0.5237686567164179,1.1826904718836841
J,orion_hct116,common,242,0.5,0.0,"[0.0, 0.0]",0.020407639362528117,0.5075206611570248,1.0004232679291511
J,orion_hct116,cis,242,0.5650697849867975,0.06506978498679743,"[0.025531746167826892, 0.10646839957477447]",0.0011421972498569246,,0.999922088631004
J,orion_hct116,linear_k25_r1,242,0.505281026027914,0.005281026027913996,"[-0.0068241829841226235, 0.018997976749768525]",0.019867601409567812,0.5061776859504132,1.0004398109089916
J,orion_hct116,linear_k25_r1+cis,242,0.5342923768046364,0.03429237680463633,"[0.01784703885326292, 0.05253720722883303]",0.021009798659424733,0.5064462809917355,1.0003633847004239
J,orion_hct116,linear_k25_r10,242,0.5004286547100579,0.0004286547100579531,"[-0.002058399917698299, 0.0028805596515894503]",0.020217347959606297,0.5067561983471074,1.0004137008892076
J,orion_hct116,linear_k25_r10+cis,242,0.5302458763416893,0.030245876341689244,"[0.01702530777408183, 0.04492472823291382]",0.021214832317579577,0.5070247933884298,1.0003370874695094
J,orion_hct116,linear_k50_r1,242,0.5072013991289737,0.007201399128973631,"[-0.008010270566852988, 0.02261839443091799]",0.019377679765505678,0.508202479338843,1.000487183204213
J,orion_hct116,linear_k50_r1+cis,242,0.5361441651520866,0.036144165152086696,"[0.01800264051301396, 0.05479964678851892]",0.020993741563004212,0.5084504132231404,1.0004109168778166
J,orion_hct116,linear_k50_r10,242,0.5009258941737251,0.0009258941737251831,"[-0.0017664860601488259, 0.003789736291622373]",0.019500645209319285,0.5076239669421487,1.0004175667941968
J,orion_hct116,linear_k50_r10+cis,242,0.5308631391241727,0.030863139124172698,"[0.01825983333904873, 0.04576446280991735]",0.020498129567292564,0.5078512396694215,1.0003409816496376
J,orion_hct116,linear_k100_r1,242,0.5054696341003395,0.005469634100339494,"[-0.009070333664826312, 0.01869020266794691]",0.021310388591677863,0.5047727272727273,1.0005881710919096
J,orion_hct116,linear_k100_r1+cis,242,0.5325606117760022,0.032560611776002196,"[0.014656561846301566, 0.05116894139432801]",0.02235648743676831,0.5050619834710743,1.0005120053724663
J,orion_hct116,linear_k100_r10,242,0.5005658242172765,0.0005658242172764961,"[-0.002315164089023018, 0.0033949453036589963]",0.019558323600306893,0.5069421487603306,1.0004272786974193
J,orion_hct116,linear_k100_r10+cis,242,0.5303658996605055,0.030365899660505468,"[0.01795163060251706, 0.04496459312094917]",0.020555807958280176,0.5071694214876032,1.0003507097731072
J,orion_hct116,string700,242,0.5265422996467884,0.02654229964678852,"[-0.011561674839683142, 0.06684141490346693]",0.02270403649667913,0.5039462809917356,1.0310553669725124
J,orion_hct116,string700+cis,242,0.54667192483111,0.04667192483111004,"[0.007131528411234178, 0.08292582558897153]",0.023750662084362544,0.5042148760330579,1.030974060377345
J,orion_hct116,string400,242,0.5100819587805631,0.010081958780563078,"[-0.03060766091697816, 0.04928071739652274]",0.022068158792621886,0.5040289256198347,1.0376143364553105
J,orion_hct116,transfer_ceiling,242,0.734851342546552,0.2348513425465519,"[0.17687622166592365, 0.29165237817633133]",0.05534502689697997,0.517293388429752,1.093436117944133
J,orion_hek293t,common,254,0.5,0.0,"[0.0, 0.0]",0.023451560335065076,0.5061220472440945,1.0009812186254505
J,orion_hek293t,cis,254,0.5642059070679406,0.06420590706794063,"[0.02158273941053811, 0.10773104634153934]",0.0009457556094395784,,0.999994584850894
J,orion_hek293t,linear_k25_r1,254,0.504372724160468,0.0043727241604680795,"[-0.008839205129003146, 0.018456086022843973]",0.0249108550195062,0.5083858267716536,1.001036271742658
J,orion_hek293t,linear_k25_r1+cis,254,0.5338769412716691,0.0338769412716691,"[0.014377470355731226, 0.054965609535962134]",0.02597737774164565,0.5087204724409449,1.0010333467082835
J,orion_hek293t,linear_k25_r10,254,0.5012604649715228,0.0012604649715228264,"[-0.0014005166350253646, 0.003937007874015747]",0.0235154232059778,0.506732283464567,1.0009704450194212
J,orion_hek293t,linear_k25_r10+cis,254,0.5318539727988546,0.03185397279885469,"[0.017941785191870775, 0.04777473467990414]",0.02446117881541738,0.5070472440944883,1.000967240534106
J,orion_hek293t,linear_k50_r1,254,0.5087298870249914,0.008729887024991442,"[-0.008496856618219169, 0.026241791416389125]",0.024988564563369856,0.5081299212598425,1.0011846652219458
J,orion_hek293t,linear_k50_r1+cis,254,0.5377672652578507,0.03776726525785068,"[0.015777208925959352, 0.06190750365690452]",0.025853973073339725,0.5084842519685039,1.0011819684079213
J,orion_hek293t,linear_k50_r10,254,0.5010426068282966,0.0010426068282966602,"[-0.0021011639849366657, 0.004450530640191714]",0.02468144091515893,0.5077952755905513,1.0009880829617603
J,orion_hek293t,linear_k50_r10+cis,254,0.5319006566866888,0.03190065668668887,"[0.017332171423236127, 0.04783697986368304]",0.025546849425128804,0.5080905511811024,1.0009849189988063
J,orion_hek293t,linear_k100_r1,254,0.5068314089197348,0.006831408919734834,"[-0.010600354797547545, 0.023995518346767913]",0.023963415891925247,0.5073228346456693,1.0013629416340748
J,orion_hek293t,linear_k100_r1+cis,254,0.5349351093959106,0.034935109395910484,"[0.01247977031527186, 0.06017553141825651]",0.025032996301803334,0.5076377952755905,1.0013604286036162
J,orion_hek293t,linear_k100_r10,254,0.5004824001742866,0.0004824001742865131,"[-0.003206405029410852, 0.004093009865861623]",0.024697711694116106,0.506515748031496,1.0010046837130773
J,orion_hek293t,linear_k100_r10+cis,254,0.5307646820827238,0.03076468208272385,"[0.01489138215430581, 0.047369362920544014]",0.025563120204085972,0.5066929133858268,1.00100154974266
J,orion_hek293t,string700,254,0.5186735551336715,0.018673555133671534,"[-0.011995424978992253, 0.04989145996078553]",0.02776667524036015,0.511476377952756,1.0535267861658801
J,orion_hek293t,string700+cis,254,0.5352618966107497,0.035261896610749736,"[0.0016763406056456388, 0.06931740375338453]",0.028821892105140464,0.511771653543307,1.0535161412611924
J,orion_hek293t,string400,254,0.5308269272665027,0.030826927266502754,"[-0.0026088512651333625, 0.06693574740904419]",0.025146568707901464,0.5136614173228345,1.061231832907054
J,orion_hek293t,transfer_ceiling,254,0.7549095888705611,0.25490958887056114,"[0.2067088637141701, 0.30282670940835954]",0.049838928105727834,0.5299015748031496,1.1584300426548757
