held_out,arm,target,pds
k562,cis,TRIM35,0.5
k562,cis,TRIP4,1.0
k562,cis,TRMT1,0.933579335793358
k562,cis,TRPC4AP,0.5
k562,cis,TWF2,0.5
k562,cis,UNK,1.0
k562,cis,UPF3B,0.5
k562,cis,UROS,1.0
k562,cis,USP28,0.5
k562,cis,VAPB,0.5
k562,cis,VIM,0.5
k562,cis,WBP4,0.8413284132841329
k562,cis,YIPF6,0.5
k562,cis,ZBTB34,0.5
k562,cis,ZBTB41,0.5
k562,cis,ZBTB48,0.5
k562,cis,ZC3HAV1,0.5
k562,cis,ZDHHC12,0.5
k562,cis,ZDHHC4,0.5
k562,cis,ZFP62,0.5
k562,cis,ZHX3,0.5
k562,cis,ZKSCAN1,0.5
k562,cis,ZKSCAN2,0.5
k562,cis,ZKSCAN3,0.5
k562,cis,ZNF16,0.5
k562,cis,ZNF174,0.5
k562,cis,ZNF219,0.5
k562,cis,ZNF22,0.5
k562,cis,ZNF25,0.5
k562,cis,ZNF251,0.5
k562,cis,ZNF280C,0.5
k562,cis,ZNF282,0.5
k562,cis,ZNF32,0.5
k562,cis,ZNF324,0.5
k562,cis,ZNF397,0.5
k562,cis,ZNF410,0.5
k562,cis,ZNF444,0.5
k562,cis,ZNF462,0.5
k562,cis,ZNF496,0.5
k562,cis,ZNF507,0.5
k562,cis,ZNF514,0.5
k562,cis,ZNF526,0.2398523985239852
k562,cis,ZNF530,0.5
k562,cis,ZNF543,0.5
k562,cis,ZNF627,0.1697416974169742
k562,cis,ZNF628,0.5
k562,cis,ZNF641,0.5
k562,cis,ZNF670,0.5
k562,cis,ZNF714,0.5
k562,cis,ZNF740,0.5
k562,cis,ZNF768,0.5
k562,cis,ZNF777,0.5
k562,cis,ZNF783,0.5
k562,cis,ZNF784,0.3579335793357934
k562,cis,ZNF786,0.5
k562,cis,ZNF821,0.5
k562,cis,ZRANB3,1.0
k562,linear_k25_r1,ACLY,0.948339483394834
k562,linear_k25_r1,ADNP,0.8634686346863468
k562,linear_k25_r1,AGO1,0.8413284132841329
k562,linear_k25_r1,AKAP1,0.39852398523985244
k562,linear_k25_r1,AKIRIN1,0.8081180811808117
k562,linear_k25_r1,AKT2,0.5276752767527675
k562,linear_k25_r1,ALG12,0.6125461254612545
k562,linear_k25_r1,ANKRD52,0.3726937269372693
k562,linear_k25_r1,ANKZF1,0.40590405904059046
k562,linear_k25_r1,ANP32B,0.5498154981549815
k562,linear_k25_r1,AP2A2,0.42435424354243545
k562,linear_k25_r1,API5,0.2878228782287823
k562,linear_k25_r1,ARL14EP,0.3321033210332104
k562,linear_k25_r1,ASCC2,0.44280442804428044
k562,linear_k25_r1,BCKDK,0.014760147601476037
k562,linear_k25_r1,BCL6,0.43173431734317347
k562,linear_k25_r1,BCL7C,0.029520295202952074
k562,linear_k25_r1,BRD1,0.6826568265682658
k562,linear_k25_r1,BRPF1,0.9372693726937269
k562,linear_k25_r1,C5orf22,0.7675276752767528
k562,linear_k25_r1,CAND1,0.5387453874538746
k562,linear_k25_r1,CARM1,0.974169741697417
k562,linear_k25_r1,CAT,0.11808118081180807
k562,linear_k25_r1,CCDC112,0.4354243542435424
k562,linear_k25_r1,CDK8,0.1881918819188192
k562,linear_k25_r1,CHD3,0.047970479704797064
k562,linear_k25_r1,CHD6,0.8856088560885609
k562,linear_k25_r1,CHKB,0.940959409594096
k562,linear_k25_r1,CLCN6,0.8560885608856088
k562,linear_k25_r1,COIL,0.4206642066420664
k562,linear_k25_r1,COMMD8,0.08487084870848705
k562,linear_k25_r1,COQ10B,0.977859778597786
k562,linear_k25_r1,CSNK2A1,0.5645756457564576
k562,linear_k25_r1,CYTH2,0.6900369003690037
k562,linear_k25_r1,DBF4B,0.07011070110701112
k562,linear_k25_r1,DBN1,0.8191881918819188
k562,linear_k25_r1,DCAF16,0.16236162361623618
k562,linear_k25_r1,DCP2,0.959409594095941
k562,linear_k25_r1,DDHD1,0.6752767527675276
k562,linear_k25_r1,DEAF1,0.3284132841328413
k562,linear_k25_r1,DEK,0.7896678966789668
k562,linear_k25_r1,DHRS1,0.1512915129151291
k562,linear_k25_r1,DHX35,0.5535055350553506
k562,linear_k25_r1,DLAT,0.5239852398523985
k562,linear_k25_r1,DMTF1,0.4723247232472325
k562,linear_k25_r1,DNTTIP1,0.11439114391143912
k562,linear_k25_r1,DRG2,0.7859778597785978
k562,linear_k25_r1,DTNBP1,0.1328413284132841
k562,linear_k25_r1,DVL3,0.2656826568265682
