target,pathway,held_out,genes,pearson,cosine,blind_pearson,blind_cosine,sign_top100,blind_sign_same100
SP110,IFNG,MCF7,3889,-0.010054207711323405,0.17556703756240302,-0.009754970145156925,0.29271681901254293,0.62,0.65
RNF14,IFNG,A549,4021,-0.006246183415619814,0.09686814301619312,-0.014108628416026663,0.05925782271552737,0.61,0.61
RNF14,IFNG,BXPC3,4021,-0.0033594009599450672,0.5290477347337436,0.04514101815472848,0.02458608822834697,0.95,0.85
RNF14,IFNG,HAP1,4021,0.014576271874508613,0.39334678852910104,-0.0042937198831412,0.1961947129203715,0.74,0.73
RNF14,IFNG,HT29,4021,-0.029024518032517654,0.3242410522623963,0.07086209789831543,0.2769025860834807,0.66,0.65
RNF14,IFNG,K562,4021,0.011301345971401837,0.4550932417435956,-0.016283649075127915,0.2987195994114409,0.69,0.66
RNF14,IFNG,MCF7,4021,0.031892398644327836,-0.001973991041298813,0.024163505128797502,0.007707167379900886,0.61,0.61
ZNFX1,IFNG,A549,3914,-0.003002313551477705,-0.44204657794274604,0.027583418346154687,-0.42826040864077475,0.21,0.21
ZNFX1,IFNG,BXPC3,3914,0.012207220455541918,-0.43499391311647556,0.028200290481557144,0.0433872003206604,0.17,0.27
ZNFX1,IFNG,HAP1,3914,-0.010131557481177516,0.013157876019572728,-0.02674350931239223,0.1689600705858384,0.53,0.56
ZNFX1,IFNG,HT29,3914,-0.038099921426343254,-0.1142507644156433,-0.015690148448295377,-0.1718477154169363,0.44,0.46
ZNFX1,IFNG,K562,3914,-0.03064948453230298,-0.2737574700176232,-0.004005237339174015,-0.33052791161315287,0.29,0.28
ZNFX1,IFNG,MCF7,3914,0.0031550976949489286,0.04705390048924568,0.01970209001416927,0.19546409037192422,0.5,0.6
PTPN11,IFNG,A549,3432,-0.004037514801685269,-0.022119641073909246,-0.027448292238751094,-0.10656722621438053,0.53,0.54
PTPN11,IFNG,BXPC3,3432,0.06020063762295188,-0.02169952825835892,0.030853606710312575,0.04262431834469768,0.51,0.55
PTPN11,IFNG,HAP1,3432,0.020622096890188495,-0.09177611781606185,0.021797592844159854,0.22686307000836076,0.49,0.53
PTPN11,IFNG,HT29,3432,0.07479296055410586,-0.01216154157459142,0.07263143839367554,-0.20498119060188227,0.59,0.54
PTPN11,IFNG,K562,3432,0.02475477831013648,-0.08758067550095322,0.03206896078979308,-0.22191088325181302,0.55,0.5
PTPN11,IFNG,MCF7,3432,0.020346608043242075,0.005517116899982778,0.008827458626700872,-0.0813319143748485,0.54,0.55
TRAFD1,IFNG,A549,3924,0.06321082204393795,0.43464691672342165,0.05390202792061276,0.3406627714820323,0.81,0.81
TRAFD1,IFNG,BXPC3,3924,0.10014480134090842,0.6339509860510555,0.03576648570452781,0.027215651478680353,0.91,0.83
TRAFD1,IFNG,HAP1,3924,-0.0029509350118771286,0.5546338281456911,-0.023125171148990695,0.2903969626939704,0.84,0.85
TRAFD1,IFNG,HT29,3924,0.08777418132074287,0.29964745572918683,0.05183038759614408,0.2111367149277585,0.7,0.69
TRAFD1,IFNG,K562,3924,0.0045552829777650685,0.17505250843967723,0.009582922107347248,0.12609197560331709,0.63,0.62
TRAFD1,IFNG,MCF7,3924,0.0577296304216969,0.611690390043842,0.020003065701306933,0.4501685857221096,0.85,0.83
EHF,IFNG,A549,3791,0.060695182305211995,-0.036979975037603974,0.039496411685222214,-0.04529413104495273,0.55,0.57
EHF,IFNG,BXPC3,3791,0.020541527160038892,0.262720847830467,0.024353543016216346,0.03086525309082845,0.69,0.69
EHF,IFNG,HAP1,3791,0.006527751995537792,0.18604481832195877,-0.01247475346679092,0.303726059315064,0.72,0.73
EHF,IFNG,HT29,3791,0.03386876202103922,-0.01016506179555834,0.02490169683898213,-0.013524599083906604,0.53,0.56
EHF,IFNG,K562,3791,-0.020932997992275687,-0.11893111888918778,0.0010012985976434266,-0.09091183409389705,0.48,0.47
EHF,IFNG,MCF7,3792,-0.027558955940772692,-0.19832642644094348,-0.03395581474182936,-0.1951950585192099,0.4,0.42
IFI16,IFNG,A549,3922,-0.02320720857139645,-0.07103537434831533,-0.03187258797295532,-0.13684894357555338,0.44,0.42
IFI16,IFNG,BXPC3,3915,-0.01595670198240915,-0.2822097862734183,0.021437629893056344,0.0932458034443265,0.1,0.34
IFI16,IFNG,HAP1,3916,-0.022795184467421094,-0.039014564760813206,-0.0087349977876563,0.13450319511943445,0.39,0.55
IFI16,IFNG,HT29,3915,-0.006324679160481465,-0.0049131182687506495,-0.007472954601584848,0.0671035535039328,0.4,0.49
IFI16,IFNG,K562,3916,-0.01584331259662451,-0.21162874099627618,0.029636972524915838,-0.34697710468183235,0.43,0.23
IFI16,IFNG,MCF7,3916,0.008803764523004595,-0.019839498003597748,-0.009632674228607509,-0.17211574962291395,0.49,0.53
MYC,IFNG,A549,3729,0.05482221042361821,-0.17989482275817653,0.052066281112926584,-0.270955399937642,0.4,0.41
MYC,IFNG,BXPC3,3729,0.08705936837456738,-0.20542400746765888,0.08650111537814556,0.08394502373151785,0.31,0.36
MYC,IFNG,HAP1,3729,0.00025282451720479474,0.014001570076656375,-0.015606767364165611,0.15700406179657067,0.56,0.6
MYC,IFNG,HT29,3729,0.04555848482419462,0.06537249172732706,0.020022991769397865,0.09396074687234032,0.53,0.45
MYC,IFNG,K562,3729,-0.0008341398159166854,-0.11935313956890484,-0.019186995404794887,-0.2337860036430713,0.43,0.42
MYC,IFNG,MCF7,3729,0.02210383970645128,-0.061551515518623263,0.030813054464381567,-0.1588845629553835,0.53,0.49
TAPBPL,IFNG,A549,4013,0.028990168948700133,-0.1106921482370397,-0.00452923867186692,-0.27690003310128203,0.64,0.45
TAPBPL,IFNG,BXPC3,4016,0.03671669996577329,-0.0798563729153412,0.03232732744263505,0.049247797262453416,0.36,0.44
TAPBPL,IFNG,HAP1,4013,0.03404914414862267,-0.06853646051698271,-0.010781209047588506,-0.18248735213734438,0.54,0.43
TAPBPL,IFNG,HT29,4013,0.02205556630606694,0.01784962119058321,0.010677173748775668,-0.006821193716886412,0.57,0.52
TAPBPL,IFNG,K562,4013,0.024432480499852895,-0.03394503419317147,0.003286539576715318,-0.1518078363162019,0.48,0.5
TAPBPL,IFNG,MCF7,4014,0.04694346193778962,0.014182043645705083,-0.014872919727175837,0.38809446705637307,0.41,0.63
TBX21,IFNG,A549,3475,-0.0008361763372511388,-0.019168816058283952,0.00787929515663239,0.06622377018284539,0.51,0.48
TBX21,IFNG,BXPC3,3475,0.05401199127056561,-0.16280564102650524,0.031190511559636574,0.02425867439445236,0.43,0.43
TBX21,IFNG,HAP1,3475,0.00438546895468731,0.011723033051362634,-0.016568420559079425,-0.08198615638367113,0.55,0.51
