target,rows,guides,donors,conditions,cells
GPATCH8,22,2,4,3,1786.0
GRAMD1A,23,2,4,3,680.0
GTF2IRD1,24,2,4,3,512.0
HDAC1,24,2,4,3,1606.0
HDAC8,24,2,4,3,1211.0
HEATR6,24,2,4,3,2275.0
HMGN3,24,2,4,3,1797.0
HMGN4,24,2,4,3,2150.0
HMGXB3,24,2,4,3,322.0
HOMEZ,20,2,4,3,2163.0
HSBP1,24,2,4,3,2175.0
HSP90AB1,24,2,4,3,1587.0
IFI27L2,21,2,4,3,1602.0
IFNAR2,23,2,4,3,979.0
IFNGR2,23,2,4,3,1659.0
IL10RB,23,2,4,3,1148.0
IREB2,22,2,4,3,688.0
KDM5A,21,2,4,3,680.0
KHDRBS1,21,2,4,3,627.0
KHSRP,24,2,4,3,548.0
KIF21B,19,2,4,3,146.0
KIF2A,24,2,4,3,1738.0
KMT2A,21,2,4,3,126.0
LDLR,13,2,4,3,351.0
LENG1,9,2,4,3,13.0
LMAN1,24,2,4,3,578.0
LMBRD2,24,2,4,3,828.0
LPCAT3,24,2,4,3,1962.0
MAN2A1,24,2,4,3,1790.0
MAP2K2,21,2,4,3,3294.0
MAPK12,24,2,4,3,2797.0
MAPK7,19,2,4,3,1484.0
MARCKSL1,24,2,4,3,2266.0
MBD4,24,2,4,3,1705.0
MED13,24,2,4,3,3895.0
MED15,24,2,4,3,3313.0
MED25,21,2,4,3,1994.0
MLKL,21,2,4,3,5881.0
MLLT10,12,1,4,3,2283.0
MSANTD4,20,2,4,3,805.0
MSI2,24,2,4,3,2811.0
MTA1,21,2,4,3,1817.0
MTF1,17,2,4,3,113.0
MTHFSD,23,2,4,3,2253.0
MTM1,24,2,4,3,4237.0
MYD88,22,2,4,3,1622.0
MYPOP,18,2,4,3,308.0
MYRF,23,2,4,3,5279.0
NABP2,18,2,4,3,2073.0
NAIF1,15,2,4,3,1982.0
NCLN,24,2,4,3,2004.0
NFE2L1,21,2,4,3,548.0
NGLY1,21,2,4,3,434.0
NICN1,5,1,3,3,8.0
NIPAL3,24,2,4,3,2371.0
NIPSNAP3A,19,2,4,3,1057.0
NT5DC1,21,2,4,3,2791.0
NUP37,23,2,4,3,981.0
PAN2,17,2,4,3,1919.0
PAPOLA,23,2,4,3,1348.0
PARP3,18,2,4,3,475.0
PATL1,21,2,4,3,653.0
PBLD,22,2,4,3,1898.0
PCGF1,23,2,4,3,4639.0
PCGF6,23,2,4,3,827.0
PDCD4,23,2,4,3,1383.0
PDE6D,20,2,4,3,611.0
PDK1,21,2,4,3,781.0
PDK3,24,2,4,3,2721.0
PGLS,22,2,4,3,204.0
PHF11,24,2,4,3,1296.0
PHF19,11,1,4,3,413.0
PHF23,24,2,4,3,791.0
PHF8,24,2,4,3,1099.0
PI4KB,11,2,3,3,442.0
PIM2,24,2,4,3,2113.0
PIN1,18,2,4,3,176.0
PINK1,24,2,4,3,1777.0
PKN3,22,2,4,3,2039.0
PLAGL2,12,2,4,3,240.0
PLCG1,24,2,4,3,1125.0
PNP,24,2,4,3,2009.0
POLD4,23,2,4,3,2434.0
POR,24,2,4,3,1263.0
PPIF,24,2,4,3,936.0
PPIP5K2,24,2,4,3,4694.0
PQBP1,20,2,4,3,735.0
PRDX3,24,2,4,3,4066.0
PRKAB2,24,2,4,3,1722.0
PRKACA,24,2,4,3,2948.0
PRMT2,22,2,4,3,1133.0
PRMT6,18,2,4,3,821.0
PRMT7,22,2,4,3,224.0
PRNP,23,2,4,3,1645.0
PSKH1,22,2,4,3,3860.0
PSMB9,24,2,4,3,1858.0
PTMS,24,2,4,3,1654.0
PTOV1,21,2,4,3,1858.0
PYCR1,22,2,4,3,792.0
R3HCC1L,23,2,4,3,1413.0
RAB11FIP5,24,2,4,3,1452.0
RAB5A,21,2,4,3,1606.0
