#Archive/File	Name	Time	Size	Type
File	GSM7951422_channel10_transcriptome_matrix.mtx.gz	11/22/2023 20:22:23	157207240	MTX
File	GSM7951423_channel11_guides_barcode.tsv.gz	11/22/2023 20:12:57	18350144	TSV
File	GSM7951423_channel11_guides_features.tsv.gz	11/22/2023 21:15:06	425955	TSV
File	GSM7951423_channel11_guides_matrix.mtx.gz	11/22/2023 21:15:15	19249382	MTX
File	GSM7951423_channel11_labels_barcode.tsv.gz	11/22/2023 20:17:22	18350144	TSV
File	GSM7951423_channel11_labels_features.tsv.gz	11/22/2023 21:14:49	111	TSV
File	GSM7951423_channel11_labels_matrix.mtx.gz	11/22/2023 20:12:23	6954550	MTX
File	GSM7951423_channel11_transcriptome_barcode.tsv.gz	11/22/2023 20:12:11	18350144	TSV
File	GSM7951423_channel11_transcriptome_features.tsv.gz	11/22/2023 20:17:06	185493	TSV
File	GSM7951423_channel11_transcriptome_matrix.mtx.gz	11/22/2023 20:17:06	153938737	MTX
File	GSM7951424_channel12_guides_barcode.tsv.gz	11/22/2023 20:42:01	18350144	TSV
File	GSM7951424_channel12_guides_features.tsv.gz	11/22/2023 20:37:01	425955	TSV
File	GSM7951424_channel12_guides_matrix.mtx.gz	11/22/2023 20:38:12	21071895	MTX
File	GSM7951424_channel12_labels_barcode.tsv.gz	11/22/2023 20:38:45	18350144	TSV
File	GSM7951424_channel12_labels_features.tsv.gz	11/22/2023 20:42:01	111	TSV
File	GSM7951424_channel12_labels_matrix.mtx.gz	11/22/2023 20:42:14	6715869	MTX
File	GSM7951424_channel12_transcriptome_barcode.tsv.gz	11/22/2023 20:37:33	18350144	TSV
File	GSM7951424_channel12_transcriptome_features.tsv.gz	11/22/2023 20:37:00	185493	TSV
File	GSM7951424_channel12_transcriptome_matrix.mtx.gz	11/22/2023 20:43:19	153666823	MTX
File	GSM7951425_channel13_guides_barcode.tsv.gz	11/22/2023 20:49:10	18350144	TSV
File	GSM7951425_channel13_guides_features.tsv.gz	11/22/2023 20:49:46	425955	TSV
File	GSM7951425_channel13_guides_matrix.mtx.gz	11/22/2023 20:49:45	22936794	MTX
File	GSM7951425_channel13_labels_barcode.tsv.gz	11/22/2023 20:50:23	18350144	TSV
File	GSM7951425_channel13_labels_features.tsv.gz	11/22/2023 21:17:47	111	TSV
File	GSM7951425_channel13_labels_matrix.mtx.gz	11/22/2023 20:49:57	7898551	MTX
File	GSM7951425_channel13_transcriptome_barcode.tsv.gz	11/22/2023 20:52:01	18350144	TSV
File	GSM7951425_channel13_transcriptome_features.tsv.gz	11/22/2023 20:49:45	185493	TSV
File	GSM7951425_channel13_transcriptome_matrix.mtx.gz	11/22/2023 20:52:33	184349979	MTX
File	GSM7951426_channel14_guides_barcode.tsv.gz	11/22/2023 20:48:42	18350144	TSV
File	GSM7951426_channel14_guides_features.tsv.gz	11/22/2023 20:45:19	425955	TSV
File	GSM7951426_channel14_guides_matrix.mtx.gz	11/22/2023 20:48:16	22553891	MTX
File	GSM7951426_channel14_labels_barcode.tsv.gz	11/22/2023 20:44:51	18350144	TSV
File	GSM7951426_channel14_labels_features.tsv.gz	11/22/2023 20:48:16	111	TSV
File	GSM7951426_channel14_labels_matrix.mtx.gz	11/22/2023 20:44:25	5759521	MTX
File	GSM7951426_channel14_transcriptome_barcode.tsv.gz	11/22/2023 20:45:18	18350144	TSV
File	GSM7951426_channel14_transcriptome_features.tsv.gz	11/22/2023 20:45:18	185493	TSV
File	GSM7951426_channel14_transcriptome_matrix.mtx.gz	11/22/2023 20:49:22	171382978	MTX
File	GSM7951427_channel15_guides_barcode.tsv.gz	11/22/2023 20:43:02	18350144	TSV
File	GSM7951427_channel15_guides_features.tsv.gz	11/22/2023 20:42:15	425955	TSV
File	GSM7951427_channel15_guides_matrix.mtx.gz	11/22/2023 20:44:17	20920388	MTX
File	GSM7951427_channel15_labels_barcode.tsv.gz	11/22/2023 20:43:47	18350144	TSV
File	GSM7951427_channel15_labels_features.tsv.gz	11/22/2023 20:43:35	111	TSV
File	GSM7951427_channel15_labels_matrix.mtx.gz	11/22/2023 20:42:24	5212962	MTX
File	GSM7951427_channel15_transcriptome_barcode.tsv.gz	11/22/2023 20:43:35	18350144	TSV
File	GSM7951427_channel15_transcriptome_features.tsv.gz	11/22/2023 20:42:15	185493	TSV
File	GSM7951427_channel15_transcriptome_matrix.mtx.gz	11/22/2023 20:47:45	170363180	MTX
File	GSM7951428_channel16_guides_barcode.tsv.gz	11/22/2023 20:11:37	18350144	TSV
File	GSM7951428_channel16_guides_features.tsv.gz	11/22/2023 20:09:36	425955	TSV
File	GSM7951428_channel16_guides_matrix.mtx.gz	11/22/2023 20:09:35	25162629	MTX
File	GSM7951428_channel16_labels_barcode.tsv.gz	11/22/2023 20:09:16	18350144	TSV
File	GSM7951428_channel16_labels_features.tsv.gz	11/22/2023 20:10:53	111	TSV
File	GSM7951428_channel16_labels_matrix.mtx.gz	11/22/2023 20:11:02	5089307	MTX
File	GSM7951428_channel16_transcriptome_barcode.tsv.gz	11/22/2023 20:10:53	18350144	TSV
File	GSM7951428_channel16_transcriptome_features.tsv.gz	11/22/2023 20:11:37	185493	TSV
File	GSM7951428_channel16_transcriptome_matrix.mtx.gz	11/22/2023 20:14:02	190545838	MTX
