held_out,shape,arm,targets,pds_proxy,reach_proxy,prec_200,yield_200,mse_ratio,pds_minus_base,pds_minus_base_ci95,pds_minus_base_nb_targets,reach_minus_base,reach_minus_base_ci95,reach_minus_base_nb_targets,pairs,pairs_measured,targets_with_pair
cd4_mix,t16,cis_meas_2kb,292,0.6732570729181376,0.00471721218585881,0.5160616438356165,0.2127569656343765,1.4272160487598655,0.0013886927458456912,"[0.000753189285882409, 0.002118344866544275]",0.005406643757159224,5.149860953754249e-06,"[0.0, 1.5449582861262748e-05]",2.005012531328321e-05,60.0,54.0,60.0
cd4_mix,t16,cis_shuffled_2kb,292,0.6719036859200678,0.004712062324905056,0.51611301369863,0.21280274034387356,1.427626964582974,3.530574777573814e-05,"[-0.00023537165183825176, 0.00031775172998163803]",0.0001374570446735405,0.0,"[0.0, 0.0]",0.0,60.0,54.0,60.0
cd4_mix,t16,cis_med_add1_5kb,292,0.6754224921150497,0.004750869053788876,0.5161643835616437,0.2128297372293456,1.4271335111790397,0.0035541119427576146,"[0.002141882031728099, 0.0051784705550063535]",0.01383734249713631,3.880672888381995e-05,"[8.109934956464898e-06, 7.92875020488899e-05]",0.00015108753112100568,76.0,69.0,75.0
cd4_mix,t16,cis_med_add2_5kb,292,0.6783528691804359,0.004825967345860964,0.5161643835616437,0.2128297372293456,1.4271047066394844,0.00648448900814386,"[0.003824495127806808, 0.009450760250435434]",0.025246277205040097,0.00011390502095590746,"[5.3261602921783073e-05, 0.00018292425940186088]",0.00044347021492166635,76.0,69.0,75.0
cd4_mix,t16,cis_med_add4_5kb,292,0.6838134915030835,0.004832055028571631,0.5161643835616437,0.2128297372293456,1.4275416441223596,0.011945111330791321,"[0.007107341241820836, 0.017536070705644207]",0.04650630011454754,0.00011999270366657538,"[5.4765704970450026e-05, 0.0001886159801151385]",0.00046717159294186694,76.0,69.0,75.0
cd4_mix,t16,cis_mean_add1_5kb,292,0.677529068399002,0.004819275090657416,0.5161643835616437,0.2128297372293456,1.4270819892130413,0.005660688226709975,"[0.0034125947370898654, 0.008273901991244172]",0.022038946162657502,0.00010721276575235884,"[4.5734850606608586e-05, 0.00017398829326801065]",0.0004174150346625171,76.0,69.0,75.0
cd4_mix,t16,cis_mean_add2_5kb,292,0.6821423527750318,0.004830663537815902,0.5161643835616437,0.2128297372293456,1.42732938227046,0.010273972602739725,"[0.0059078284611401395, 0.015264145836275477]",0.04,0.00011860121291084482,"[5.3921935374984764e-05, 0.00018804389052604992]",0.0004617540555995559,76.0,69.0,75.0
cd4_mix,t16,cis_meas_5kb,292,0.6733394529962811,0.00471721218585881,0.5160616438356165,0.2127569656343765,1.4272049421885953,0.0014710728239890791,"[0.0008002636162500586, 0.002236324907028198]",0.005727376861397482,5.149860953754249e-06,"[0.0, 1.5449582861262748e-05]",2.005012531328321e-05,76.0,69.0,75.0
cd4_mix,t16,cis_shuffled_5kb,292,0.6718801487548839,0.00471763087374123,0.516027397260274,0.2127500166354876,1.4276354832043738,1.1768582591912589e-05,"[-0.0002709716141787907, 0.00029450877936261385]",4.5819014891179675e-05,5.5685488361732935e-06,"[0.0, 1.670564650851988e-05]",2.168021680216802e-05,76.0,69.0,75.0
cd4_mix,t19,base,292,0.6861319022736901,0.0072159465297227336,0.5223972602739726,0.21712020724354797,1.2617633493862148,0.0,"[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",0.0,,,
