held_out,target,pds_raw,pds_zk64,gain_zk64,predictor_sources,predictor_cells,predictor_max_abs_z
k562,CAT,0.7407407407407407,0.9037037037037037,0.16296296296296298,3,2625.0,4.968923568725586
k562,CCDC112,0.9333333333333333,0.9703703703703703,0.03703703703703698,3,2754.0,9.312617301940918
k562,CDK8,0.8962962962962963,0.5,-0.39629629629629626,1,1929.0,0.0
k562,CHD3,0.7444444444444445,0.8629629629629629,0.11851851851851847,3,1783.0,10.976601600646973
k562,CHD6,0.9740740740740741,1.0,0.025925925925925908,3,1588.0,7.7437968254089355
k562,CHKB,0.962962962962963,0.9962962962962963,0.033333333333333326,3,2239.0,11.980051040649414
k562,CLCN6,0.9555555555555556,0.9962962962962963,0.040740740740740744,3,1414.0,5.341425895690918
k562,COIL,1.0,0.9888888888888889,-0.011111111111111072,3,2696.0,11.337005615234375
k562,COMMD8,0.5074074074074074,0.3296296296296296,-0.1777777777777778,3,1043.0,6.589352130889893
k562,COQ10B,0.9962962962962963,0.9962962962962963,0.0,3,2438.0,14.295628547668457
k562,CSNK2A1,1.0,0.9925925925925926,-0.007407407407407418,3,1932.0,12.327594757080078
k562,CYTH2,0.5407407407407407,0.8962962962962963,0.3555555555555555,3,2300.0,10.40892505645752
k562,DBF4B,0.3407407407407408,0.5925925925925926,0.25185185185185177,3,2598.0,7.531042098999023
k562,DBN1,0.7703703703703704,1.0,0.22962962962962963,3,1894.0,16.22815704345703
k562,DCAF16,0.437037037037037,1.0,0.562962962962963,3,1852.0,13.642624855041504
k562,DCP2,1.0,1.0,0.0,2,444.0,5.855946063995361
k562,DDHD1,0.9888888888888889,1.0,0.011111111111111072,3,1622.0,20.965787887573242
k562,DEAF1,0.09999999999999998,0.11481481481481481,0.014814814814814836,3,2680.0,10.997339248657227
k562,DEK,0.9814814814814815,1.0,0.01851851851851849,3,2460.0,16.00018310546875
k562,DHRS1,0.9703703703703703,0.9962962962962963,0.02592592592592602,3,1540.0,13.365394592285156
k562,DHX35,1.0,0.9925925925925926,-0.007407407407407418,3,1184.0,6.963889122009277
k562,DLAT,0.7851851851851852,0.9481481481481482,0.16296296296296298,3,1666.0,8.523950576782227
k562,DMTF1,0.4925925925925926,0.7851851851851852,0.2925925925925926,3,2183.0,8.032697677612305
k562,DNTTIP1,1.0,1.0,0.0,3,4913.0,10.015545845031738
k562,DRG2,0.8296296296296296,0.6592592592592592,-0.1703703703703704,3,2349.0,9.118232727050781
k562,DTNBP1,0.6370370370370371,0.8481481481481481,0.21111111111111103,3,1664.0,7.632011413574219
k562,DVL3,0.09999999999999998,0.5851851851851853,0.4851851851851853,3,2331.0,9.015114784240723
k562,E2F1,1.0,1.0,0.0,3,792.0,6.550469875335693
k562,E2F4,0.8111111111111111,0.9740740740740741,0.16296296296296298,2,552.0,6.950295448303223
k562,EAPP,0.9962962962962963,1.0,0.0037037037037036535,3,635.0,9.929521560668945
k562,EEF1A2,0.8740740740740741,0.9962962962962963,0.12222222222222223,2,701.0,23.969776153564453
k562,ELK1,1.0,1.0,0.0,2,2190.0,8.626168251037598
k562,EPC2,1.0,1.0,0.0,3,1747.0,8.694906234741211
k562,EPM2AIP1,1.0,1.0,0.0,3,1607.0,7.83305549621582
k562,EZH2,1.0,0.9481481481481482,-0.051851851851851816,3,394.0,7.527610778808594
k562,FAM120A,0.737037037037037,0.9148148148148149,0.1777777777777778,3,1857.0,11.613810539245605
k562,FCGRT,0.9740740740740741,1.0,0.025925925925925908,3,2368.0,12.686821937561035
k562,FHL3,0.5148148148148148,0.7148148148148148,0.19999999999999996,3,2297.0,6.819268226623535
k562,FOXN2,1.0,1.0,0.0,3,3762.0,9.566463470458984
k562,FOXO4,0.9925925925925926,1.0,0.007407407407407418,3,2484.0,12.5607271194458
k562,FUBP3,1.0,0.9962962962962963,-0.0037037037037036535,3,1266.0,10.826078414916992
k562,FXYD5,0.8518518518518519,0.9222222222222223,0.07037037037037042,3,4012.0,10.00053882598877
k562,FZD2,0.42592592592592593,0.28888888888888886,-0.13703703703703707,2,578.0,5.640224456787109
k562,GIGYF2,1.0,1.0,0.0,3,1342.0,8.0003080368042
k562,GLI3,1.0,1.0,0.0,3,4400.0,13.42982292175293
k562,GLYR1,0.7074074074074075,0.5,-0.20740740740740748,1,3432.0,0.0
k562,GMEB2,1.0,1.0,0.0,3,1301.0,7.178946495056152
k562,GPATCH8,1.0,0.9962962962962963,-0.0037037037037036535,3,2443.0,13.36266040802002
k562,GRAMD1A,0.7851851851851852,1.0,0.2148148148148148,3,1069.0,11.366321563720703
k562,GTF2IRD1,0.837037037037037,1.0,0.16296296296296298,3,1178.0,12.53248405456543
k562,HDAC1,0.837037037037037,0.7037037037037037,-0.1333333333333333,3,1890.0,12.417922973632812
k562,HDAC8,0.49629629629629635,0.3925925925925926,-0.10370370370370374,3,1624.0,17.713577270507812
k562,HMGN3,0.7296296296296296,0.7666666666666666,0.03703703703703698,3,2207.0,14.922161102294922
k562,HMGN4,0.9740740740740741,0.9296296296296296,-0.04444444444444451,2,2174.0,6.564420223236084
k562,HMGXB3,1.0,1.0,0.0,3,641.0,9.126396179199219
k562,HOMEZ,0.28148148148148144,0.1777777777777778,-0.10370370370370363,3,2618.0,13.452095985412598
k562,HSBP1,0.7259259259259259,1.0,0.27407407407407414,3,2386.0,15.485621452331543
k562,HSP90AB1,0.9740740740740741,0.9814814814814815,0.007407407407407418,3,1791.0,22.05259895324707
k562,IFI27L2,0.9,0.7444444444444445,-0.15555555555555556,3,2157.0,9.32856559753418
k562,IFNAR2,0.7777777777777778,0.5333333333333333,-0.24444444444444446,3,1467.0,8.576713562011719
k562,IFNGR2,0.937037037037037,0.9962962962962963,0.059259259259259345,3,1916.0,6.877490520477295
k562,IL10RB,0.9740740740740741,0.5,-0.4740740740740741,1,1148.0,0.0
k562,IREB2,0.825925925925926,0.7703703703703704,-0.05555555555555558,3,790.0,7.071500778198242
k562,KDM5A,1.0,1.0,0.0,3,1054.0,9.182920455932617
k562,KHDRBS1,0.9851851851851852,1.0,0.014814814814814836,3,924.0,15.587590217590332
k562,KHSRP,1.0,1.0,0.0,3,885.0,13.021186828613281
k562,KIF2A,0.4111111111111111,0.08148148148148149,-0.3296296296296296,3,2065.0,12.433011054992676
k562,KMT2A,0.8888888888888888,0.6074074074074074,-0.28148148148148144,2,88.0,11.43976879119873
k562,LDLR,0.8666666666666667,1.0,0.1333333333333333,3,610.0,10.755615234375
k562,LENG1,0.9,0.7185185185185186,-0.18148148148148147,2,63.0,10.400097846984863
k562,LMAN1,0.7777777777777778,0.9481481481481482,0.1703703703703704,3,940.0,13.249519348144531
k562,LMBRD2,0.5,0.9962962962962963,0.49629629629629635,3,895.0,7.124687194824219
k562,LPCAT3,0.8814814814814815,0.8333333333333334,-0.04814814814814816,3,2275.0,8.130402565002441
k562,MAN2A1,0.12962962962962965,0.5,0.37037037037037035,1,1790.0,0.0
k562,MAP2K2,0.2925925925925926,0.3740740740740741,0.08148148148148149,3,3625.0,11.67324161529541
k562,MAPK12,0.6,0.5,-0.09999999999999998,1,2797.0,0.0
k562,MARCKSL1,0.8666666666666667,0.9925925925925926,0.12592592592592589,3,2478.0,12.603691101074219
k562,MBD4,0.18148148148148147,0.7666666666666666,0.5851851851851851,3,2377.0,11.184758186340332
k562,MED13,0.9925925925925926,1.0,0.007407407407407418,3,4271.0,14.554359436035156
k562,MED15,0.9333333333333333,0.9074074074074074,-0.025925925925925908,3,4008.0,17.50279998779297
k562,MED25,1.0,1.0,0.0,3,2384.0,10.383502006530762
k562,MLLT10,0.8925925925925926,0.9888888888888889,0.09629629629629632,3,2434.0,7.468509674072266
k562,MSANTD4,1.0,1.0,0.0,3,1388.0,9.01023006439209
k562,MSI2,0.7666666666666666,0.6111111111111112,-0.15555555555555545,3,3176.0,14.188887596130371
k562,MTA1,1.0,1.0,0.0,3,2159.0,13.562335014343262
k562,MTF1,1.0,1.0,0.0,3,698.0,32.45376968383789
k562,MTHFSD,0.7296296296296296,0.7518518518518519,0.022222222222222254,3,2755.0,6.501739025115967
k562,MTM1,0.7740740740740741,0.5777777777777777,-0.1962962962962964,3,4364.0,7.290637493133545
k562,MYD88,0.8444444444444444,1.0,0.15555555555555556,3,2407.0,6.642812252044678
k562,MYPOP,0.8037037037037037,1.0,0.1962962962962963,3,634.0,6.908605098724365
k562,MYRF,0.8074074074074074,0.674074074074074,-0.1333333333333333,3,6746.0,23.94435691833496
k562,NABP2,1.0,1.0,0.0,3,2806.0,12.048568725585938
