held_out,shape,arm,targets,pds_proxy,reach_proxy,prec_200,yield_200,mse_ratio,pds_minus_base,pds_minus_base_ci95,pds_minus_base_nb_targets,reach_minus_base,reach_minus_base_ci95,reach_minus_base_nb_targets
k562,t19,cis_fill_5kb,271,0.7768621019543529,0.10565175517965007,0.5341328413284133,0.5334712323657533,1.0820244619728687,0.0,"[0.0, 0.0]",0.0,8.581481163648846e-05,"[0.0, 0.0002574444349094654]",0.0003419972640218878
k562,t19,cis_add_5kb,271,0.7790761240945743,0.10565175517965007,0.5341328413284133,0.5334712323657533,1.0822729697886029,0.002214022140221402,"[0.0008473418067514016, 0.00386804701380347]",0.008823529411764706,8.581481163648846e-05,"[0.0, 0.0002574444349094654]",0.0003419972640218878
k562,t19,cis_shuffled_5kb,271,0.7767801011343447,0.10556594036801357,0.5340959409594096,0.5334343319967496,1.0821425991809945,-8.200082000819856e-05,"[-0.0005740057400573974, 0.000410004100041001]",-0.000326797385620909,0.0,"[0.0, 0.0]",0.0
k562,t19,cis_replace_10kb,271,0.7723793904605714,0.10560255468764515,0.5341512915129151,0.5334896825502551,1.082029001518503,-0.0044827114937816045,"[-0.008924422577559106, -0.000970343036763701]",-0.017483660130718958,3.6614319631568404e-05,"[-0.00014760147601476016, 0.0002574444349094654]",0.00014591883264933878
k562,t19,cis_min_10kb,271,0.7772721060543939,0.10565175517965007,0.5341512915129151,0.5334896825502551,1.0820482434656573,0.0004100041000410006,"[-1.2290291785518337e-18, 0.000916017493508268]",0.0014705882352941174,8.581481163648846e-05,"[0.0, 0.0002574444349094654]",0.0003419972640218878
k562,t19,cis_fill_10kb,271,0.7768621019543529,0.10565175517965007,0.5341328413284133,0.5334712323657533,1.0820244619728687,0.0,"[0.0, 0.0]",0.0,8.581481163648846e-05,"[0.0, 0.0002574444349094654]",0.0003419972640218878
k562,t19,cis_add_10kb,271,0.7792127921279214,0.10565175517965007,0.5341512915129151,0.5334896825502551,1.0822845657540343,0.002350690173568403,"[0.0009973349733497332, 0.004046057127237938]",0.008932461873638345,8.581481163648846e-05,"[0.0, 0.0002574444349094654]",0.0003419972640218878
k562,t19,cis_shuffled_10kb,271,0.7773541068744021,0.10556594036801357,0.5341697416974169,0.533508132734757,1.082142823082835,0.0004920049200492021,"[-0.0002460024600245998, 0.0013666803334700017]",0.0013616557734204837,0.0,"[0.0, 0.0]",0.0
k562,none,cis_only_2kb,271,0.5455924559245593,0.0016976832895156595,,,0.9997825229021541,,,,,,
k562,none,cis_only_5kb,271,0.5531911985786524,0.0019166474434429129,,,0.9997675584135005,,,,,,
