held_out,shape,arm,target,pds,reach,has_neighbour_5kb
cd4_mix,t19,cis_min_5kb,RC3H2,0.7869415807560137,0.002331002331002331,False
cd4_mix,t19,cis_min_5kb,REV1,0.23711340206185572,0.009523809523809525,False
cd4_mix,t19,cis_min_5kb,RFK,0.9278350515463918,0.009615384615384616,False
cd4_mix,t19,cis_min_5kb,RNF10,0.5154639175257731,0.0273972602739726,True
cd4_mix,t19,cis_min_5kb,RNF141,0.415807560137457,0.0,False
cd4_mix,t19,cis_min_5kb,RNF2,0.9450171821305842,0.0037105751391465678,False
cd4_mix,t19,cis_min_5kb,RSRC1,0.7903780068728522,0.006507592190889371,True
cd4_mix,t19,cis_min_5kb,S100A11,0.6769759450171822,0.0022675736961451248,False
cd4_mix,t19,cis_min_5kb,SAP30L,0.7869415807560137,0.0,False
cd4_mix,t19,cis_min_5kb,SCAF8,1.0,0.01756587202007528,False
cd4_mix,t19,cis_min_5kb,SEMA4F,0.5567010309278351,0.005639097744360902,False
cd4_mix,t19,cis_min_5kb,SFXN4,0.5085910652920962,0.0,False
cd4_mix,t19,cis_min_5kb,SH2D3A,0.36426116838487976,0.0,True
cd4_mix,t19,cis_min_5kb,SHPRH,0.3917525773195877,0.0,False
cd4_mix,t19,cis_min_5kb,SIN3B,1.0,0.00030553009471432935,False
cd4_mix,t19,cis_min_5kb,SLC25A13,0.8762886597938144,0.02976190476190476,False
cd4_mix,t19,cis_min_5kb,SLC39A1,0.47079037800687284,0.0,True
cd4_mix,t19,cis_min_5kb,SLC44A1,0.731958762886598,0.011111111111111112,False
cd4_mix,t19,cis_min_5kb,SLIRP,0.9965635738831615,0.040983606557377046,True
cd4_mix,t19,cis_min_5kb,SMARCA5,1.0,0.001756697408871322,False
cd4_mix,t19,cis_min_5kb,SMARCC2,0.4329896907216495,0.0103359173126615,False
cd4_mix,t19,cis_min_5kb,SMYD2,0.4226804123711341,0.001388888888888889,False
cd4_mix,t19,cis_min_5kb,SND1,0.281786941580756,0.0017064846416382253,False
cd4_mix,t19,cis_min_5kb,SNN,0.4226804123711341,0.0,False
cd4_mix,t19,cis_min_5kb,SNRK,0.3711340206185567,0.0,False
cd4_mix,t19,cis_min_5kb,SNX4,0.3264604810996563,0.0019230769230769232,False
cd4_mix,t19,cis_min_5kb,SOCS5,0.9553264604810997,0.0,False
cd4_mix,t19,cis_min_5kb,SRSF5,0.8762886597938144,0.0,False
cd4_mix,t19,cis_min_5kb,SSR4,1.0,0.0007451564828614009,True
cd4_mix,t19,cis_min_5kb,STAT6,0.18213058419243988,0.000649772579597141,True
cd4_mix,t19,cis_min_5kb,STK3,0.9965635738831615,0.07194244604316546,True
cd4_mix,t19,cis_min_5kb,STT3A,0.7525773195876289,0.0,True
cd4_mix,t19,cis_min_5kb,SUPT7L,0.9690721649484536,0.00037209302325581393,True
cd4_mix,t19,cis_min_5kb,SYVN1,1.0,0.016042780748663103,False
cd4_mix,t19,cis_min_5kb,TAF15,0.5223367697594501,0.002008032128514056,False
cd4_mix,t19,cis_min_5kb,TAF4,1.0,0.21671018276762402,False
cd4_mix,t19,cis_min_5kb,TARBP2,0.1924398625429553,0.0033519553072625698,True
cd4_mix,t19,cis_min_5kb,TBC1D13,0.8487972508591065,0.006085192697768763,False
cd4_mix,t19,cis_min_5kb,TBC1D19,0.711340206185567,0.01488095238095238,False
cd4_mix,t19,cis_min_5kb,TBCK,1.0,0.002288329519450801,True
cd4_mix,t19,cis_min_5kb,TDRD7,0.21993127147766323,0.0,False
cd4_mix,t19,cis_min_5kb,TEAD4,0.8075601374570447,0.0,False
cd4_mix,t19,cis_min_5kb,TESK2,0.7525773195876289,0.0,False
cd4_mix,t19,cis_min_5kb,TEX2,0.9381443298969072,0.0,False
cd4_mix,t19,cis_min_5kb,TFCP2,0.6254295532646048,0.0,False
cd4_mix,t19,cis_min_5kb,THAP3,0.9381443298969072,0.0019157088122605363,False
cd4_mix,t19,cis_min_5kb,THAP7,1.0,0.008356545961002786,False
cd4_mix,t19,cis_min_5kb,TIMM17B,0.9896907216494846,0.043726235741444866,False
cd4_mix,t19,cis_min_5kb,TIMM50,0.9828178694158075,0.0,False
cd4_mix,t19,cis_min_5kb,TMCO6,0.5223367697594501,0.0,False
cd4_mix,t19,cis_min_5kb,TMED3,0.6804123711340206,0.006060606060606061,False
cd4_mix,t19,cis_min_5kb,TMEM104,1.0,0.003205128205128205,True
cd4_mix,t19,cis_min_5kb,TMEM147,0.979381443298969,0.0012028869286287089,False
cd4_mix,t19,cis_min_5kb,TMEM186,0.9862542955326461,0.0,False
cd4_mix,t19,cis_min_5kb,TMEM209,0.7663230240549828,0.0007112375533428165,True
cd4_mix,t19,cis_min_5kb,TMEM41B,0.31958762886597936,0.0,False
cd4_mix,t19,cis_min_5kb,TMEM79,1.0,0.012237762237762238,True
cd4_mix,t19,cis_min_5kb,TMF1,0.6219931271477663,0.0023014959723820483,False
cd4_mix,t19,cis_min_5kb,TRAPPC6A,0.7525773195876289,0.0019083969465648854,False
cd4_mix,t19,cis_min_5kb,TRIB3,0.570446735395189,0.0,False
cd4_mix,t19,cis_min_5kb,TRIM35,0.6323024054982818,0.016194331983805668,True
cd4_mix,t19,cis_min_5kb,TRIP4,0.7353951890034365,0.007537688442211055,True
cd4_mix,t19,cis_min_5kb,TRMT1,0.054982817869415834,0.006896551724137931,True
cd4_mix,t19,cis_min_5kb,TRPC4AP,0.7835051546391752,0.001152073732718894,False
cd4_mix,t19,cis_min_5kb,TTBK2,0.25773195876288657,0.0012594458438287153,False
cd4_mix,t19,cis_min_5kb,TWF2,0.429553264604811,0.0,True
cd4_mix,t19,cis_min_5kb,TXNDC16,0.7525773195876289,0.010309278350515464,True
cd4_mix,t19,cis_min_5kb,UNK,0.28865979381443296,0.009925558312655087,True
cd4_mix,t19,cis_min_5kb,UPF3B,0.9965635738831615,0.07142857142857142,False
cd4_mix,t19,cis_min_5kb,UROS,0.872852233676976,0.03177966101694915,True
cd4_mix,t19,cis_min_5kb,USP28,0.5567010309278351,0.0,False
cd4_mix,t19,cis_min_5kb,VAPB,0.7491408934707904,0.0024875621890547263,False
cd4_mix,t19,cis_min_5kb,VIM,0.0893470790378007,0.0,False
cd4_mix,t19,cis_min_5kb,WBP4,0.9862542955326461,0.0031645569620253164,True
cd4_mix,t19,cis_min_5kb,YIPF6,0.8350515463917526,0.0,False
cd4_mix,t19,cis_min_5kb,ZBTB34,0.2405498281786942,0.0,False
cd4_mix,t19,cis_min_5kb,ZBTB41,0.30927835051546393,0.0037174721189591076,False
cd4_mix,t19,cis_min_5kb,ZBTB48,1.0,0.0,False
cd4_mix,t19,cis_min_5kb,ZC2HC1A,0.5498281786941581,0.0,False
cd4_mix,t19,cis_min_5kb,ZC3HAV1,0.7457044673539519,0.0010162601626016261,True
cd4_mix,t19,cis_min_5kb,ZDHHC12,0.07903780068728528,0.007326007326007326,False
cd4_mix,t19,cis_min_5kb,ZDHHC4,0.9518900343642611,0.027450980392156862,False
cd4_mix,t19,cis_min_5kb,ZFP62,0.7938144329896908,0.003134796238244514,False
cd4_mix,t19,cis_min_5kb,ZHX3,0.3402061855670103,0.0,False
cd4_mix,t19,cis_min_5kb,ZKSCAN1,0.6151202749140894,0.0016611295681063123,False
cd4_mix,t19,cis_min_5kb,ZKSCAN2,0.48797250859106533,0.0,False
cd4_mix,t19,cis_min_5kb,ZKSCAN3,0.7731958762886598,0.0,False
cd4_mix,t19,cis_min_5kb,ZNF16,0.8281786941580755,0.0010706638115631692,False
cd4_mix,t19,cis_min_5kb,ZNF174,0.9828178694158075,0.0008992805755395684,True
cd4_mix,t19,cis_min_5kb,ZNF219,0.23367697594501713,0.0,False
cd4_mix,t19,cis_min_5kb,ZNF22,0.3711340206185567,0.008,False
cd4_mix,t19,cis_min_5kb,ZNF25,0.29209621993127144,0.0,False
cd4_mix,t19,cis_min_5kb,ZNF251,0.1924398625429553,0.0,False
cd4_mix,t19,cis_min_5kb,ZNF280C,0.8178694158075601,0.0,False
cd4_mix,t19,cis_min_5kb,ZNF282,0.4020618556701031,0.0,False
cd4_mix,t19,cis_min_5kb,ZNF32,0.1649484536082474,0.0,False
cd4_mix,t19,cis_min_5kb,ZNF324,0.6597938144329897,0.0016025641025641025,False
cd4_mix,t19,cis_min_5kb,ZNF397,0.9003436426116839,0.04208416833667335,False
